회사명,거래소코드,회계년도,자산(*)(요약)(IFRS)(백만원),이익잉여금(결손금)(요약)(IFRS)(백만원),자산(*)(요약)(IFRS연결)(백만원),이익잉여금(결손금)(요약)(IFRS연결)(백만원),순운전자본비율(IFRS),순운전자본비율(IFRS연결),부채(*)(요약)(IFRS)(백만원),부채(*)(요약)(IFRS연결)(백만원),금융비용부담률(IFRS),금융비용부담률(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),당기순이익(손실)(요약)(IFRS)(백만원),매출액(수익)(요약)(IFRS)(백만원),영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),당기순이익(손실)(요약)(IFRS연결)(백만원),매출액(수익)(요약)(IFRS연결)(백만원)
(주)지엔코,065060,2022/12,144190,-105418,226964,-107151,-17.61,8.46,93926,103010,4.81,2.76,5703,-8137,95299,-5415,-9444,143276
(주)지오엘리먼트,311320,2022/12,53111,30394,,,65.93,,4235,,-1.69,,2698,6684,28636,,,
(주)지티지웰니스,219750,2022/12,35035,-45291,35521,-45254,-21.42,-20.31,30817,31003,28.38,27.07,1304,-13175,5946,664,-13623,6234
(주)진로발효,018120,2022/12,90356,69191,93024,69191,45.58,46.67,16235,17261,-0.6,-0.58,-2964,3270,96194,-2176,3605,99587
(주)진매트릭스,109820,2022/12,31902,-16661,,,51.01,,7717,,-0.97,,-1023,-8111,11214,,,
(주)진바이오텍,086060,2022/12,41531,7898,64041,18116,44.07,47.39,7051,18315,0.01,0.02,-3023,420,41836,-3679,1523,82759
(주)진성티이씨,036890,2022/12,260006,149669,402669,176415,40.81,30.2,81024,193183,-1.05,0.54,12966,42111,358999,33271,45431,541014
(주)진시스템,363250,2022/12,41183,-20963,,,69.19,,6073,,-3.01,,-6417,-8996,3653,,,
(주)차바이오텍,085660,2022/12,395402,-109485,1607008,38158,7.64,2.65,145880,955072,-3.59,1.69,9112,-61893,42326,-20631,-69659,844583
(주)차백신연구소,261780,2022/12,61069,-53615,,,52.61,,27703,,863.63,,-5189,-6715,179,,,
(주)창해에탄올,004650,2022/12,170267,111992,195085,124152,0.74,2.75,48009,59807,0.84,1.2,1365,770,99833,3116,299,109430
(주)천보,278280,2022/12,557538,132235,818656,218577,15.25,35.55,299754,423815,6.89,1.25,26113,-641,94444,65570,42836,328859
(주)청담글로벌,362320,2022/12,78621,14245,98232,14067,67.6,58.03,16481,31542,-0.06,0.42,-315,4903,195118,1619,4665,216298
(주)체리부로,066360,2022/12,197365,-17600,276733,-30061,-17.82,-22.01,126818,192511,0.77,1.44,4230,14921,482377,14984,9145,402390
(주)초록뱀미디어,047820,2022/12,410073,-19460,481910,-43257,6.27,6.37,86475,158798,2.24,3.23,6287,-19460,34352,6450,-50507,192542
(주)초록뱀이앤엠,131100,2022/06,148083,-118034,157995,-118034,7.89,10.91,68303,78215,7.76,5.22,1766,-14375,38576,2351,-14492,58743
(주)초록뱀컴퍼니,052300,2022/12,314133,15334,668872,-373,-2.91,7.48,95961,239575,35.78,4.72,-3880,-3141,12059,6325,-142115,214716
(주)칩스앤미디어,094360,2022/12,63308,29039,63076,28792,35.63,35.84,21101,21105,-2.77,-2.77,15184,9963,24093,15177,9963,24093
(주)카나리아바이오,016790,2022/12,226738,-262098,271272,-238038,-15.21,-19.79,208426,228900,1.24,0.08,4555,-306811,158096,-2541,-282751,158096
(주)카스,016920,2022/12,164497,21363,174809,20997,-17.92,-4.93,103882,113328,1.6,1.57,1199,1551,148150,3201,2739,168363
(주)카이노스메드,284620,2022/12,34030,-100379,38982,-101179,43.79,57.87,7921,9066,721.24,716.65,-5553,-14654,130,-11296,-15914,130
(주)카카오게임즈,293490,2022/12,2053988,178904,3873942,507080,15.15,20.4,631922,1859048,-0.9,-0.17,79278,-69308,753476,133825,-196114,1147693
(주)캐리소프트,317530,2022/12,12845,-11389,14947,-10988,1.45,1.96,2302,3840,0.95,0.88,-543,-2511,7837,-1122,-1404,10088
(주)캐스텍코리아,071850,2022/12,236532,53680,257878,46934,-9.76,-6.93,145367,167543,3.64,2.82,-7911,-8113,99493,-1394,-6180,182019
(주)캠시스,050110,2022/12,253805,-22705,351234,-27066,-11.95,5.31,149394,221223,0.58,0.46,16380,5663,498551,26238,7650,733703
(주)커넥트웨이브,119860,2022/12,831430,46656,978031,86084,16.69,19.68,268959,367783,12.49,1.93,5765,-13296,75484,52225,21246,452615
(주)컴투스,078340,2022/12,1444517,954064,1908358,966189,18.37,14.69,335666,576012,-2.23,-0.75,37252,62786,478406,-5047,-9325,717137
(주)컴투스홀딩스,063080,2022/12,313280,1254,589117,173279,-42.92,-22.27,209454,297993,13.36,7.74,-9222,-19636,66548,-5914,-70607,116230
(주)케스피온,079190,2022/12,60045,-8076,51656,-25547,-0.94,-10.46,25516,36236,10.56,2.63,-2129,-13268,9826,-617,-10857,55574
(주)케어랩스,263700,2022/12,162678,-776,180659,-11952,39.44,42.9,65036,89082,1.25,1.98,-2139,-18429,44798,-6240,-26388,87607
(주)케어젠,214370,2022/12,234070,272914,234070,273833,63.42,63.42,18092,18092,-0.86,-0.86,-27554,27338,69098,-27681,27217,69098
(주)케이비지,318000,2022/12,43074,17135,,,43.15,,8128,,0.44,,1670,3252,24346,,,
(주)케이사인,192250,2022/12,130727,31185,139102,33249,24.93,23.33,61517,69482,0.4,0.31,6424,3184,33729,10139,5874,43187
(주)케이씨씨건설,021320,2022/12,1198128,324295,,,16.62,,747474,,0.02,,-78227,4438,1893078,,,
(주)케이씨아이,036670,2022/12,123130,90158,,,40.35,,24944,,-0.04,,13003,17816,109605,,,
(주)케이씨에스,115500,2022/12,39043,11016,,,20.7,,20761,,-0.25,,3296,829,41688,,,
(주)케이씨티,089150,2022/12,53624,19903,,,-19.81,,18859,,3.6,,2481,675,14567,,,
(주)케이씨피드,025880,2022/12,93731,42191,97229,43629,18.26,16.81,34389,36236,-0.61,-0.5,1016,4062,88640,846,4224,88477
(주)케이아이엔엑스,093320,2022/12,169255,112256,197438,120355,42.75,44.43,33708,37796,-0.1,-0.23,30502,18829,78253,34566,27337,110928
(주)케이에스피,073010,2022/12,60398,7480,,,14.13,,26367,,0.84,,-5413,3964,63669,,,
(주)케이에이치바텍,060720,2022/12,270775,167414,344761,167887,26.75,19.84,40714,115410,-14.91,0.76,14513,23259,23891,38849,25011,363915
(주)케이엑스이노베이션,122450,2022/12,299074,101229,879067,253967,-14.97,2.26,178099,539460,16.15,3.9,2128,3060,35154,60168,37918,326266
(주)케이엑스하이텍,052900,2022/12,169596,9458,187325,17116,-0.61,7.21,57300,73441,1.64,1.81,10405,9368,107907,13842,14480,156411
(주)케이엔더블유,105330,2022/12,64509,973,142812,25434,5.42,4.93,13826,64346,0.3,2.25,8092,-725,24276,14593,18067,99582
(주)케이엔엔,058400,2022/12,220204,132229,222951,133837,18.51,19.65,14890,15476,-3.52,-3.14,2829,7399,59751,2675,7381,65960
(주)케이엔제이,272110,2022/12,107615,10159,108097,13133,11.8,14.44,56636,54314,1.21,1.04,10263,9289,61517,10551,9954,62314
(주)케이엘넷,039420,2022/12,59481,35288,60766,34921,29.67,32.82,9403,9691,-1.54,-0.96,7592,7262,46436,8393,7449,50303
