,회사명,거래소코드,회계년도,배당금_현금,상장협 산업분류 코드(중분류),자산,장기차입금,매출액,영업활동으로 인한 현금흐름,매출액증가율,총자산자연로그,배당금지급_여부,산업매출액증가율,WW지수
1589,(주)젬백스링크,064800,2022,837471.0,74700,205771.0,10000.0,95537.0,-17305.0,-0.12814499128482648,12.234519178944584,1,0.18248451314600161,-56.85468477126635
1591,(주)조이시티,067000,2022,0.0,105800,247655.0,66500.0,163779.0,-1564.0,-0.1864015260653148,12.419791927596542,0,0.09154042760427497,-52.43960884117925
1593,(주)좋은사람들,033340,2022,0.0,31400,73932.0,0.0,80470.0,-3498.0,-0.10685150448960565,11.210901030802571,0,0.1681073452703214,-46.808734243369614
1595,(주)중앙디앤엠,051980,2022,0.0,32200,34851.0,450.0,29055.0,-11158.0,1.2296830634640472,10.458837110181584,0,0.0634554390446139,-46.73492998056329
1597,(주)중앙백신연구소,072020,2022,966634.0,32100,114859.0,5786.0,39299.0,7086.0,-0.03947304101285624,11.6514605681293,1,0.10024222681444007,-56.76141964140632
1599,(주)중앙에너비스,000440,2022,1418827.0,74600,63422.0,0.0,71621.0,2299.0,0.17966498114077709,11.05756608338822,1,0.22369243083476922,-53.53032359092788
1601,(주)지노믹트리,228760,2022,0.0,32100,162910.0,0.0,29866.0,4286.0,4.810505836575875,12.000953180060215,0,0.10024222681444007,-68.85790565201906
1603,(주)지놈앤컴퍼니,314130,2022,0.0,32100,172997.0,0.0,14085.0,-43550.0,30.23059866962306,12.061029532289096,0,0.10024222681444007,-155.56233450022108
1605,(주)지니뮤직,043610,2022,0.0,106300,340103.0,0.0,286106.0,29322.0,0.13530973345978484,12.737003791891402,0,0.09516924758647155,-56.33023145730169
1607,(주)지니틱스,303030,2022,0.0,32600,30933.0,0.0,27611.0,-7781.0,-0.28898102129632014,10.339578854186053,0,0.06811149574196777,-41.498928831545165
1609,(주)지란지교시큐리티,208350,2022,0.0,105800,123610.0,17887.0,65383.0,8333.0,0.14042768436475267,11.724886726881868,0,0.09154042760427497,-51.45686949903474
1611,(주)지씨셀,144510,2022,5255828.0,137300,676531.0,608.0,236120.0,66415.0,0.40288752896441093,13.424733549637693,1,0.24870623355418753,-65.03358946331372
1613,(주)지아이이노베이션,358570,2022,0.0,137000,106335.0,0.0,3500.0,-62550.0,-0.375,11.574349766957228,0,0.05575074822007892,-43.693040166296406
1615,(주)지아이텍,382480,2022,1313350.0,32900,76289.0,8400.0,39647.0,4645.0,1.0286021285304954,11.242284039120532,1,0.12395095719486701,-58.32470216753519
1617,(주)지앤비에스엔지니어링,382800,2022,0.0,32900,88908.0,2755.0,65592.0,3571.0,0.25864947326003107,11.395357406204658,0,0.12395095719486701,-50.08097563794658
1619,(주)지어소프트,051160,2022,0.0,105800,291481.0,0.0,454632.0,15112.0,0.200811401886932,12.582730102545453,0,0.09154042760427497,-55.60493472728657
