,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수
200,(주)메디프론디비티,65650,2022,-1.08313454,0.491682813,0.201170236,61.23,0.98,-45.0474483
201,(주)메지온,140410,2022,-2.055681019,0.079914572,0.788355139,36.68,-1.11,-45.87945918
202,(주)메카로,241770,2022,0.536143557,0.236408784,0.718027079,59.14,-0.92,-56.87970556
203,(주)메타바이오메드,59210,2022,0.130583454,1.045552915,0.080632996,5.09,1.7,-57.76772801
204,(주)멕아이씨에스,58110,2022,0.261310066,0.200678094,0.298288934,44.16,2.06,-53.47647559
205,(주)멜파스,96640,2022,-2.086544195,0.41787693,1.059382423,16.63,22.83,-43.59379162
206,(주)모다이노칩,80420,2022,0.217308158,2.685036215,0.179227208,-11.77,3.2,-59.39422424
207,(주)모두투어네트워크,80160,2022,0.189737616,0.563000202,1.533989323,-25.05,5.39,-64.89620899
208,(주)모베이스,101330,2022,0.273548444,8.49217159,0.054841938,4.99,0.92,-67.51807303
209,(주)모베이스전자,12860,2022,0.077298054,5.591829652,0.041077456,-4.09,1.27,-64.85757667
211,(주)모비릭스,348030,2022,0.355403437,0.061034945,0.0159039,58.81,-0.89,-50.43681838
212,(주)모비스,250060,2022,-0.143481974,0.620951611,0.208441393,31.98,3.8,-49.37257433
213,(주)모아데이타,288980,2022,0.116612016,0.247363135,0.005342176,26.68,2.59,-47.7790883
215,(주)모헨즈,6920,2022,0.282565737,0.613632058,0.004027784,32.62,-0.2,-47.88484291
216,(주)무궁화인포메이션테크놀로지,38340,2022,-5.429690822,0.439564789,0.428833639,8.37,5.81,-36.78296494
217,(주)미래생명자원,218150,2022,0.374703628,0.199219313,0.004151517,48.19,0.42,-46.71855441
218,(주)미래컴퍼니,49950,2022,0.651244823,0.25116561,0.120201218,40.38,-0.83,-59.67744193
219,(주)미코,59090,2022,-0.050512,1.448704913,0.269157153,15.48,1.49,-60.00580156
220,(주)미코바이오메드,214610,2022,-1.840572402,0.453715362,1.546334802,15.83,13.12,-42.57558839
221,(주)미투온,201490,2022,0.252613833,0.254957687,0.095480841,30.44,1.01,-54.56986913
222,(주)바른손,18700,2022,-0.975508552,0.323902548,0.509519832,9.32,-0.46,-50.59089672
223,(주)바른손이앤에이,35620,2022,-0.292737011,0.570797494,0.317481658,-7.36,2.94,-53.27443045
224,(주)바이넥스,53030,2022,0.140843135,0.28930043,0.029978874,3.58,0.69,-55.5453789
225,(주)바이브컴퍼니,301300,2022,-0.37812038,0.778484372,0.213100413,-29.32,5.9,-47.16294787
226,(주)바이오니아,64550,2022,-0.056481119,0.072741644,0.028924787,32.75,0.05,-54.58175304
227,(주)바이오다인,314930,2022,-0.31880037,0.00892382,0.247747748,47.7,-3.59,-53.76649157
228,(주)바이오로그디바이스,208710,2022,0.101539713,0.830872843,0.041769965,9.79,1.56,-50.58403046
229,(주)바이오솔루션,86820,2022,-0.267139789,0.555547088,0.422985547,36.31,10.65,-48.37212571
