,거래소코드,시가총액
711,164060,110567.6586
712,056730,110511.7636
713,365590,110378.253656
714,013720,110298.999888
715,200230,110233.3645
716,241770,110080.512
717,217730,109830.292875
718,140670,109777.052
719,067570,109634.53808
720,072020,109560.0
721,241710,109470.0
722,232680,109206.4225
723,263600,109122.6235
724,009780,109120.0
725,348030,109003.13
726,136410,108538.1941
727,033130,108376.57964
728,332570,108289.9324
729,083470,108074.24978
730,185490,108036.0502
731,023440,107575.57735
732,156100,107379.32859
733,189980,107167.99809
734,227610,106781.54718
735,093920,106764.0
736,005710,106399.656
737,389500,106208.3488
738,009300,106060.5
739,150900,105877.7902
740,114840,105844.2726
741,377480,105793.4442
742,025950,105420.0
743,199820,105211.7
744,301300,105204.424
745,347000,105203.361
746,333620,105141.18624
747,067390,104992.57103
748,200470,104846.180175
749,376180,104776.08856
750,076080,104723.51076
751,014940,104591.551995
752,141000,104549.9473
753,260930,104251.17549
754,023460,104160.0
755,019010,103630.0
756,063440,103565.5965
757,168330,103203.425
758,105740,103024.72125
759,153710,102836.40558
760,128540,102758.271
761,214270,102637.16064
762,314140,102515.39035
763,255440,102374.72
764,272110,102098.32575
765,032850,102067.01902
766,092460,102005.13393
767,060310,101684.26499
768,131030,101603.38898
769,300120,101510.35862
770,024880,101427.07097
771,289080,101410.77
772,270870,101202.464
773,950140,101127.43794
774,110990,101115.0
775,373200,101070.18
776,405000,100986.3186
777,173130,100932.2593
778,225190,100583.40808
779,264660,100539.3685
780,260660,100391.98755
781,239610,100293.339
782,036670,100190.3
783,047560,100112.6016
784,234300,99962.2899
785,080000,99879.5517
786,322780,99459.340695
787,042520,99413.33304
788,035610,99265.96911
789,163730,99106.1523
790,038070,99032.8754
791,191420,98927.7748
792,004650,98802.01375
793,419120,98582.9641
794,376930,98500.358
795,327260,98372.364
796,105330,98296.5942
797,012790,98102.444
798,084180,98087.603525
799,033320,98057.03616
800,056700,98039.581215
801,187870,97457.03465
802,024950,97428.05518
803,417180,97274.35264
804,105550,97088.11368
805,019990,97073.0756
806,377460,96978.4515
807,053700,96660.015
808,054930,96600.0
809,269620,96529.874504
810,099220,96334.655865
811,049550,96168.788685
812,025550,95875.88398
813,043220,95816.779752
814,265560,95677.111
815,043090,95543.679
816,092870,95227.99443
817,251630,94917.7508
818,241520,94419.713185
819,007680,94394.24748
820,333430,94331.11329
821,058110,94056.1058
822,158430,94037.2632
823,950110,93804.906
824,096040,93605.16907
825,054920,93116.3673
826,056090,93078.49676
827,066590,92993.98752
828,018700,92716.15848
829,236810,92685.82596
830,170030,92500.2
831,148930,91967.39043
832,065710,91670.0
833,013310,91583.53352
834,014200,91160.22948
835,347740,91082.09816
836,303530,91007.3076
837,081150,91006.5075
838,290380,90946.09216
839,123570,90886.39824
840,087260,90496.95358
841,226440,90418.06728
842,177350,90226.82032
843,352770,90165.33342
844,041460,90155.0
845,038110,90036.28995
846,069510,89898.4
847,049430,89756.16
848,082210,89733.658425
849,012860,89344.81754
850,011320,89261.6109
851,425420,89227.04
852,093640,89041.2962
853,114450,88950.0
854,042110,88684.74994
855,263800,88633.5826
856,078140,88581.76621
857,234100,88563.293325
858,222040,88494.12
859,033170,88300.16857
860,052790,88265.67002
861,196490,88023.53943
862,214610,87878.8848
863,241690,87540.4775
864,006580,87531.0
865,159910,87475.235003
866,048430,87436.8
867,066310,87431.38603
868,065950,87234.72318
869,900250,87164.954451
870,053980,87053.36121
871,037950,86980.94457
872,039830,86856.5223
873,067170,86654.73615
874,090410,86638.0986
875,318010,86429.7842
876,032540,86375.9758
877,086820,86320.3156
878,225220,86317.515
879,014570,86130.0
880,339950,86072.844325
881,041920,85600.0
882,025440,85500.0
883,307930,85386.7
884,117730,85382.982
885,072520,85201.6047
886,024060,85200.0
887,160600,85164.5981
888,036640,85044.96
