,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
2763,(주)슈프리마,236200,2019,2015,-54.30572240732098,-54.30572240732098,0.0,-54.30572240732098,-54.30572240732098,-2.5185739720158065,26.73626356761941
2764,(주)슈프리마,236200,2020,2015,-52.809451830000555,-52.809451830000555,0.0,-52.809451830000555,-52.809451830000555,-2.4684926946847625,-19.251018273682895
2765,(주)슈프리마,236200,2021,2015,-53.89137682271758,-53.89137682271758,0.0,-53.89137682271758,-53.89137682271758,-2.3890987332868585,15.22581988115746
2766,(주)슈프리마아이디,317770,2018,2017,-48.71218420660334,-48.71218420660334,0.0,-48.71218420660334,-48.71218420660334,-3.020189661017599,78.78672509252218
2767,(주)슈프리마아이디,317770,2019,2017,-44.98539642667226,-44.98539642667226,152.0,-44.97775219935708,-44.97775219935708,-2.8937344251737276,-43.187422623677016
2768,(주)슈프리마아이디,317770,2020,2017,-46.67627085254022,-46.67627085254022,159.0,-46.668585273071926,-46.668585273071926,-2.8466126954580115,-29.942502263839543
2769,(주)슈프리마아이디,317770,2021,2017,-49.27246264254963,-49.27246264254963,152.0,-49.2657652023482,-49.2657652023482,-2.7894455218116425,62.80801037508456
2770,(주)슈프리마에이치큐,094840,2012,2000,-52.6641334063554,-52.6641334063554,2392.0,-52.64295976904304,-52.63338442987631,-2.247802101854577,11.79196837912158
2771,(주)슈프리마에이치큐,094840,2013,2000,-51.79971815857809,-51.79971815857809,1558.0,-51.784587264334235,-51.78024668457135,-2.180722528639531,-11.17078941121589
2772,(주)슈프리마에이치큐,094840,2014,2000,-55.964042999011376,-55.964042999011376,1174.0,-55.94790881579868,-55.94790881579868,-2.1104362187945536,36.76077087454425
2773,(주)슈프리마에이치큐,094840,2015,2000,-50.01549461161492,-50.01549461161492,790.0,-49.99632849370689,-49.99632849370689,-2.221124806699027,-59.84865475972779
2774,(주)슈프리마에이치큐,094840,2016,2000,-52.53156638462653,-52.53156638462653,0.0,-52.53156638462653,-52.53156638462653,-2.0864048984596733,16.051069238792408
2775,(주)슈프리마에이치큐,094840,2017,2000,-50.54575057168515,-50.54575057168515,0.0,-50.54575057168515,-50.54575057168515,-2.0376416038007013,-22.385056571371138
2776,(주)슈프리마에이치큐,094840,2018,2000,-53.01211370724354,-53.01211370724354,0.0,-53.01211370724354,-53.01211370724354,-1.9683012955952452,9.513049306286762
2777,(주)슈프리마에이치큐,094840,2019,2000,-51.65859342270629,-51.65859342270629,195.0,-51.6562459241251,-51.6562459241251,-1.871337396311535,-28.49657548291034
2778,(주)슈프리마에이치큐,094840,2020,2000,-53.72636989433435,-53.72636989433435,0.0,-53.72636989433435,-53.72636989433435,-1.8191698282031525,1.0102725895218658
