,회사명,거래소코드,회계년도,산업군,WW지수,총자본회전률,타인자본회전률,차입금의존도,총자본순이익률,대주주지분율,EBIT/총자산,총자본정상영업이익률,순운전자본비율,EBITDA마진율,현금흐름 대 자산,매출액총이익률,자본금회전률,현금흐름 대 매출액,abs(영업현금흐름-당기순이익)/매출액,누적수익성비율,당기전기영업손익,합계_기말인원(명),금융비용부담률,TMD,총자본증가율,FINDEP,자기자본증가율,매출액증가율,정상영업이익증가율,자기자본순이익률,target_1,target_2,target_3
1996,(주)이지홀딩스,35810,2014,제조업,-68.57479000945467,1.0,1.32,61.82,1.17,30.28,0.046400468949808,5.26,-14.41,1.7080367414741309,0.0053466166756892,16.66,59.81,0.0053975946588807,0.0063710532200131,0.0865201689236437,58678.0,195.0,2.19,4.138199053923208,1.3331136340365746,37501.168,1.7130852141564112,-1.6089773585306977,98.88956805215972,12.93,0,0,0
1997,(주)이지홀딩스,35810,2015,제조업,-68.00144390662852,0.94,1.25,60.61,1.01,34.86,0.0400916126714416,4.42,-15.43,1.8655763537223244,0.0466501033520471,16.4,54.86,0.0511979674641546,0.0404632904450684,0.0946929925540985,72997.5,217.0,1.99,3.911128188442161,5.795023163095898,-12069.544000000002,8.672071233607372,-2.683530040417783,-13.047431234953644,8.85,0,0,0
1998,(주)이지홀딩스,35810,2016,제조업,-69.03808491244024,0.91,1.3,48.19,2.14,32.61,0.0548022868284825,5.11,-10.56,1.8636611758661656,0.0852937748035584,17.84,52.14,0.0918929525807475,0.0682543250311288,0.1125492097301478,73475.0,247.0,1.9,2.9861275648976893,-4.49967236009523,-80819.416,34.72982515888955,-2.7162953424524403,16.41164602447609,7.91,0,0,0
1999,(주)이지홀딩스,35810,2017,제조업,-67.74691835365374,0.93,1.5,44.84,3.4,30.91,0.0684990711246381,7.09,-10.04,1.7428082189331295,0.0802378137022453,19.95,50.52,0.0849860058980508,0.0485949034718104,0.1327579325820844,92538.5,248.0,1.35,2.4815520270692826,-1.9234182681354084,-66718.603,8.845734932772267,-0.2387552758422616,34.13538780725391,9.03,0,0,0
2000,(주)이지홀딩스,35810,2018,제조업,-68.60627828446275,0.95,1.56,46.09,2.62,30.51,0.045109414674632,5.84,-6.2,2.019307124529032,0.0061806583545713,19.17,52.22,0.0069763235636094,0.0206421000257719,0.1278850409285191,99497.0,266.0,1.29,2.968341929160231,15.051022303138186,75363.87,12.991834211613792,7.961009635295035,-12.322927473356597,8.75,0,0,0
2001,(주)이큐셀,160600,2016,제조업,-46.74559632861753,1.12,2.46,24.35,0.95,43.2,0.0047760462909102,0.38,30.75,3.458595002922705,0.023910847135903,14.76,14.38,0.0234116218768266,0.0149882342361246,0.2876037106205799,3752.0,112.0,0.43,0.2920405707200738,22.16175783076204,12305.341,1.862401402278703,19.4546398581992,-96.92307692307692,1.74,0,0,0
2002,(주)이큐셀,160600,2017,제조업,-43.44864037241244,0.87,1.73,33.32,0.98,42.2,0.0010147339367617,2.76,24.52,7.03550042066019,-0.0166822259203636,21.06,10.57,-0.0203401573764001,0.0316402448077335,0.2634655193408288,1071.5,148.0,0.89,0.4754430197281589,13.14178122034106,3960.518,12.816888424545986,-9.142822884036033,756.6964285714286,1.98,0,0,0
2003,(주)이큐셀,160600,2018,제조업,-54.03567236966486,1.41,2.59,27.96,6.48,40.07,0.0780995129625987,6.16,12.67,6.2937613084045845,0.0825534179382469,14.61,19.3,0.0632915883208571,0.0172331216518253,0.2111960759361877,3428.5,188.0,0.57,0.7384140123463276,16.95282163683349,-2951.235,-0.0272375660510976,85.99449017634736,157.3215216258468,14.11,0,0,0
2004,(주)이퓨쳐,134060,2014,정보통신업,-43.5581215097173,0.4,2.62,0.0,3.12,46.23,0.0114486337963669,1.99,55.46,11.26016768864973,0.0817686867144965,63.83,3.35,0.2011012388937554,0.1232636716305844,0.4749402126901745,752.0,44.0,-2.13,0.1864623817761103,-3.134703533934644,-1594.905,2.9388832243747376,-4.69886702444842,-64.01446654611212,3.68,0,0,0
2005,(주)인성정보,33230,2012,정보통신업,-51.74269821716708,1.78,2.52,30.59,1.73,35.47,0.0443949982345926,2.53,18.51,0.2882451649821755,-0.0514433037766393,11.31,30.52,-0.0298568633667653,0.0395732966276669,-0.1492668563091661,5891.5,171.0,1.0,2.471157320634733,6.9084874685735045,9637.635,7.3973136071637136,3.117437154875107,-54.584721708009376,5.94,0,0,0
