"계정항목별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"계정항목별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"숙박 및 음식점업",35628.9,-534.2,-1.5,35912.7,283.8,0.8,35574.9,-337.8,-0.9,36272.3,697.4,2.0,36912.4,640.1,1.8,38572.5,1660.1,4.5,38389.5,-183.0,-0.5,39925.7,1536.2,4.0,41357.9,1432.2,3.6,33905.9,-7452.0,-18.0,34270.0,364.1,1.1,40498.4,6228.4,18.2
"운수업",52570.8,2275.7,4.5,55626.4,3055.6,5.8,56445.6,819.2,1.5,57135.1,689.5,1.2,58499.6,1364.5,2.4,58713.7,214.1,0.4,60289.1,1575.4,2.7,62521.7,2232.6,3.7,63574.1,1052.4,1.7,52547.3,-11026.8,-17.3,55309.9,2762.6,5.3,60388.1,5078.2,9.2
"정보통신업",61600.8,3157.9,5.4,64105.8,2505.0,4.1,67894.8,3789.0,5.9,69064.0,1169.2,1.7,69789.1,725.1,1.0,73517.0,3727.9,5.3,75814.3,2297.3,3.1,79245.6,3431.3,4.5,82893.8,3648.2,4.6,86521.7,3627.9,4.4,91317.4,4795.7,5.5,95332.2,4014.8,4.4
"통신업",19245.1,-51.6,-0.3,18573.5,-671.6,-3.5,20016.9,1443.4,7.8,19515.4,-501.5,-2.5,19635.0,119.6,0.6,20332.0,697.0,3.5,19766.7,-565.3,-2.8,20295.2,528.5,2.7,22051.3,1756.1,8.7,23551.4,1500.1,6.8,24528.6,977.2,4.1,25360.9,832.3,3.4
"출판, 방송, 영상, 정보서비스",42248.3,3358.8,8.6,45532.9,3284.6,7.8,47840.5,2307.6,5.1,49544.5,1704.0,3.6,50154.1,609.6,1.2,53185.0,3030.9,6.0,56014.4,2829.4,5.3,58895.6,2881.2,5.1,60881.5,1985.9,3.4,63134.9,2253.4,3.7,66864.7,3729.8,5.9,69954.7,3090.0,4.6
"전문, 과학 및 기술관련 서비스업",77812.6,3426.7,4.6,80317.4,2504.8,3.2,84388.6,4071.2,5.1,88784.9,4396.3,5.2,93214.8,4429.9,5.0,94383.5,1168.7,1.3,94866.4,482.9,0.5,98049.9,3183.5,3.4,99977.7,1927.8,2.0,102235.5,2257.8,2.3,105130.5,2895.0,2.8,107744.0,2613.5,2.5
"사업지원 서비스업",38967.6,2891.1,8.0,40358.6,1391.0,3.6,43756.0,3397.4,8.4,46413.9,2657.9,6.1,48703.9,2290.0,4.9,50693.5,1989.6,4.1,53097.1,2403.6,4.7,55584.3,2487.2,4.7,57646.0,2061.7,3.7,55403.4,-2242.6,-3.9,56907.3,1503.9,2.7,58307.4,1400.1,2.5
"교육서비스업",77321.3,1897.3,2.5,78851.7,1530.4,2.0,80729.3,1877.6,2.4,81146.2,416.9,0.5,82133.7,987.5,1.2,83160.6,1026.9,1.3,84806.1,1645.5,2.0,86222.9,1416.8,1.7,87582.3,1359.4,1.6,85878.5,-1703.8,-1.9,89488.1,3609.6,4.2,92660.1,3172.0,3.5
"문화 및 기타 서비스업",41211.8,-158.1,-0.4,41259.1,47.3,0.1,41320.2,61.1,0.1,40890.0,-430.2,-1.0,39499.3,-1390.7,-3.4,40839.4,1340.1,3.4,40495.8,-343.6,-0.8,41604.3,1108.5,2.7,42682.6,1078.3,2.6,35388.4,-7294.2,-17.1,36415.9,1027.5,2.9,40729.8,4313.9,11.8
"예술, 스포츠 및 여가관련 서비스업",20061.6,-671.4,-3.2,19653.8,-407.8,-2.0,19437.5,-216.3,-1.1,18862.5,-575.0,-3.0,17897.3,-965.2,-5.1,18587.8,690.5,3.9,18616.5,28.7,0.2,20533.4,1916.9,10.3,21676.6,1143.2,5.6,15897.1,-5779.5,-26.7,16806.7,909.6,5.7,20158.7,3352.0,19.9
"기타 서비스업",21250.4,419.9,2.0,21657.4,407.0,1.9,21913.3,255.9,1.2,22037.2,123.9,0.6,21602.0,-435.2,-2.0,22251.5,649.5,3.0,21882.0,-369.5,-1.7,21107.5,-774.5,-3.5,21075.9,-31.6,-0.1,19393.1,-1682.8,-8.0,19549.7,156.6,0.8,20652.9,1103.2,5.6
"국내총생산(시장가격, GDP)",1479198.4,52580.4,3.7,1514736.6,35538.2,2.4,1562673.6,47937.0,3.2,1612717.5,50043.9,3.2,1658020.4,45302.9,2.8,1706880.3,48859.9,2.9,1760811.5,53931.2,3.2,1812005.4,51193.9,2.9,1852666.4,40661.0,2.2,1839523.3,-13143.1,-0.7,1915777.5,76254.2,4.1,1964831.7,49054.2,2.6
