,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
3904,(주)나노신소재,121600,2021/12,+,+,+
3911,(주)나노엔텍,39860,2011/12,0,0,0
3915,(주)나노엔텍,39860,2012/12,+,+,+
3917,(주)나노엔텍,39860,2013/12,+,+,+
3921,(주)나노엔텍,39860,2014/12,+,+,+
3928,(주)나노엔텍,39860,2015/12,+,+,+
3931,(주)나노엔텍,39860,2016/12,-,+,-
3933,(주)나노엔텍,39860,2017/12,-,+,+
3939,(주)나노엔텍,39860,2018/12,-,+,+
3941,(주)나노엔텍,39860,2019/12,-,+,+
3946,(주)나노엔텍,39860,2020/12,+,+,+
3949,(주)나노엔텍,39860,2021/12,+,+,+
3958,(주)나노트로닉스,10670,2011/12,0,0,0
3963,(주)나노트로닉스,10670,2012/12,+,+,+
3975,(주)나래나노텍,137080,2021/12,0,0,0
3987,(주)나무가,190510,2015/12,0,0,0
3992,(주)나무가,190510,2016/12,+,-,-
3995,(주)나무가,190510,2017/12,-,-,-
3998,(주)나무가,190510,2018/12,-,+,+
4004,(주)나무가,190510,2019/12,+,+,+
4006,(주)나무가,190510,2020/12,-,+,+
4011,(주)나무가,190510,2021/12,-,-,-
4017,(주)나스미디어,89600,2013/12,0,0,0
4025,(주)나스미디어,89600,2014/12,+,0,+
4028,(주)나스미디어,89600,2015/12,-,0,-
4030,(주)나스미디어,89600,2016/12,0,0,0
4067,(주)나스미디어,89600,2017/12,0,0,0
4112,(주)나스미디어,89600,2018/12,0,0,0
4168,(주)나스미디어,89600,2019/12,0,0,0
4223,(주)나스미디어,89600,2020/12,0,0,0
4254,(주)나스미디어,89600,2021/12,0,0,0
4262,(주)나이벡,138610,2011/12,0,0,0
4267,(주)나이벡,138610,2012/12,+,+,+
4270,(주)나이벡,138610,2013/12,-,-,-
4277,(주)나이벡,138610,2014/12,+,+,+
4281,(주)나이벡,138610,2015/12,-,+,-
4292,(주)나이벡,138610,2016/12,-,+,+
4299,(주)나이벡,138610,2017/12,-,+,+
4302,(주)나이벡,138610,2018/12,+,-,-
4306,(주)나이벡,138610,2019/12,+,+,+
4310,(주)나이벡,138610,2020/12,+,-,-
4319,(주)나이벡,138610,2021/12,+,+,+
4322,(주)나이스디앤비,130580,2011/12,0,0,0
4325,(주)나이스디앤비,130580,2012/12,+,+,+
4331,(주)나이스디앤비,130580,2013/12,+,-,+
4335,(주)나이스디앤비,130580,2014/12,+,+,+
4340,(주)나이스디앤비,130580,2015/12,+,+,+
4344,(주)나이스디앤비,130580,2016/12,+,+,+
4345,(주)나이스디앤비,130580,2017/12,+,+,+
4352,(주)나이스디앤비,130580,2018/12,+,-,+
4354,(주)나이스디앤비,130580,2019/12,+,+,+
4358,(주)나이스디앤비,130580,2020/12,+,+,+
4362,(주)나이스디앤비,130580,2021/12,+,+,+
4368,(주)나이코,192240,2013/12,0,0,0
4379,(주)나이코,192240,2014/12,+,+,+
4382,(주)나이코,192240,2015/12,-,-,-
4394,(주)나인테크,267320,2020/12,0,0,0
4401,(주)나인테크,267320,2021/12,0,0,0
4406,(주)내츄럴엔도텍,168330,2013/12,0,0,0
4409,(주)내츄럴엔도텍,168330,2014/12,+,+,+
4420,(주)내츄럴엔도텍,168330,2015/12,-,-,-
4427,(주)내츄럴엔도텍,168330,2016/12,-,+,-
4437,(주)내츄럴엔도텍,168330,2017/12,+,+,+
4450,(주)내츄럴엔도텍,168330,2018/12,+,-,-
4451,(주)내츄럴엔도텍,168330,2019/12,-,+,-
4457,(주)내츄럴엔도텍,168330,2020/12,+,+,+
4460,(주)내츄럴엔도텍,168330,2021/12,-,+,+
4466,(주)네오리진,94860,2011/12,0,0,0
4470,(주)네오리진,94860,2012/12,-,-,-
4472,(주)네오리진,94860,2013/12,+,+,+
4478,(주)네오리진,94860,2014/12,-,+,-
4481,(주)네오리진,94860,2015/12,-,-,-
4484,(주)네오리진,94860,2016/12,-,+,-
4493,(주)네오리진,94860,2017/12,-,+,-
4494,(주)네오리진,94860,2018/12,-,+,-
4499,(주)네오리진,94860,2019/12,+,-,+
4501,(주)네오리진,94860,2020/12,-,+,-
4517,(주)네오리진,94860,2021/12,+,+,+
4526,(주)네오셈,253590,2019/12,0,0,0
4530,(주)네오셈,253590,2020/12,+,+,+
4535,(주)네오셈,253590,2021/12,-,-,-
4545,(주)네오오토,212560,2015/12,0,0,0
4550,(주)네오오토,212560,2016/12,+,+,+
4554,(주)네오오토,212560,2017/12,-,-,-
4558,(주)네오오토,212560,2018/12,-,-,-
4563,(주)네오오토,212560,2019/12,-,+,+
4566,(주)네오오토,212560,2020/12,+,-,-
4573,(주)네오오토,212560,2021/12,+,+,+
4612,(주)네오위즈,95660,2011/12,0,0,0
4685,(주)네오위즈,95660,2012/12,+,0,+
4748,(주)네오위즈,95660,2013/12,-,0,-
4796,(주)네오위즈,95660,2014/12,0,0,0
4827,(주)네오위즈,95660,2015/12,+,+,+
4839,(주)네오위즈,95660,2016/12,+,-,+
4859,(주)네오위즈,95660,2017/12,-,-,-
4878,(주)네오위즈,95660,2018/12,+,+,+
4907,(주)네오위즈,95660,2019/12,+,+,+
4939,(주)네오위즈,95660,2020/12,+,-,+
4942,(주)네오위즈,95660,2021/12,-,-,-
4947,(주)네오위즈홀딩스,42420,2011/12,0,0,0
4984,(주)네오위즈홀딩스,42420,2012/12,+,0,+
5008,(주)네오위즈홀딩스,42420,2013/12,-,0,-
5025,(주)네오위즈홀딩스,42420,2014/12,+,+,+
5031,(주)네오위즈홀딩스,42420,2015/12,-,-,-
5046,(주)네오위즈홀딩스,42420,2016/12,+,0,+
5068,(주)네오위즈홀딩스,42420,2017/12,+,+,+
5084,(주)네오위즈홀딩스,42420,2018/12,+,+,+
5105,(주)네오위즈홀딩스,42420,2019/12,+,+,+
5120,(주)네오위즈홀딩스,42420,2020/12,+,-,+
5135,(주)네오위즈홀딩스,42420,2021/12,-,-,-
5200,(주)네오크레마,311390,2019/12,0,0,0
5261,(주)네오크레마,311390,2020/12,+,-,+
5308,(주)네오크레마,311390,2021/12,+,-,+
5318,(주)네오티스,85910,2011/12,0,0,0
5321,(주)네오티스,85910,2012/12,+,+,+
5328,(주)네오티스,85910,2013/12,-,+,+
5362,(주)네오티스,85910,2014/12,-,+,+
5396,(주)네오티스,85910,2015/12,-,-,-
5425,(주)네오티스,85910,2016/12,+,+,+
5447,(주)네오티스,85910,2017/12,+,+,+
5484,(주)네오티스,85910,2018/12,+,+,+
5491,(주)네오티스,85910,2019/12,-,-,-
5496,(주)네오티스,85910,2020/12,+,-,-
5500,(주)네오티스,85910,2021/12,+,+,+
5510,(주)네오팜,92730,2011/12,0,0,0
