,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
6810,(주)노블엠앤비,106520,2012/12,0,0,0
6816,(주)노블엠앤비,106520,2013/12,-,+,+
6821,(주)노블엠앤비,106520,2014/12,-,-,-
6825,(주)노블엠앤비,106520,2015/12,+,-,-
6832,(주)노블엠앤비,106520,2016/12,+,-,-
6872,(주)노블엠앤비,106520,2017/12,+,-,+
6905,(주)노블엠앤비,106520,2018/12,+,+,+
6952,(주)노블엠앤비,106520,2019/12,+,-,+
6957,(주)노블엠앤비,106520,2020/12,-,-,-
6967,(주)노블엠앤비,106520,2021/12,-,-,-
6980,(주)노터스,278650,2019/12,0,0,0
6988,(주)노터스,278650,2020/12,0,0,0
6995,(주)노터스,278650,2021/12,0,0,0
6998,(주)녹십자셀,31390,2011/12,0,0,0
7020,(주)녹십자셀,31390,2012/12,+,+,+
7033,(주)녹십자셀,31390,2013/12,-,-,-
7047,(주)녹십자셀,31390,2014/12,+,+,+
7070,(주)녹십자셀,31390,2015/12,-,-,-
7072,(주)녹십자셀,31390,2016/12,-,-,-
7078,(주)녹십자셀,31390,2017/12,-,-,-
7091,(주)녹십자셀,31390,2018/12,+,+,+
7101,(주)녹십자셀,31390,2019/12,+,+,+
7104,(주)녹십자셀,31390,2020/12,+,-,+
7110,(주)녹십자엠에스,142280,2014/12,0,0,0
7115,(주)녹십자엠에스,142280,2015/12,+,-,+
7166,(주)녹십자엠에스,142280,2016/12,-,+,-
7176,(주)녹십자엠에스,142280,2017/12,+,+,+
7221,(주)녹십자엠에스,142280,2018/12,-,-,-
7274,(주)녹십자엠에스,142280,2019/12,+,+,+
7276,(주)녹십자엠에스,142280,2020/12,+,+,+
7286,(주)녹십자엠에스,142280,2021/12,-,-,-
7296,(주)녹십자웰빙,234690,2019/12,0,0,0
7302,(주)녹십자웰빙,234690,2020/12,+,-,+
7317,(주)녹십자웰빙,234690,2021/12,+,-,+
7322,(주)녹원씨엔아이,65560,2011/12,0,0,0
7326,(주)녹원씨엔아이,65560,2012/12,-,0,-
7330,(주)녹원씨엔아이,65560,2013/12,-,0,-
7340,(주)녹원씨엔아이,65560,2015/12,-,0,-
7453,(주)녹원씨엔아이,65560,2016/12,-,+,-
7520,(주)녹원씨엔아이,65560,2017/12,-,-,-
7533,(주)녹원씨엔아이,65560,2018/12,+,+,+
7539,(주)녹원씨엔아이,65560,2019/12,+,+,+
7556,(주)녹원씨엔아이,65560,2020/12,+,-,-
7562,(주)녹원씨엔아이,65560,2021/12,-,-,-
7567,(주)누리플랜,69140,2011/12,0,0,0
7586,(주)누리플랜,69140,2012/12,-,-,-
7667,(주)누리플랜,69140,2013/12,-,0,-
7672,(주)누리플랜,69140,2014/12,-,0,-
7678,(주)누리플랜,69140,2015/12,+,+,+
7689,(주)누리플랜,69140,2016/12,+,-,+
7699,(주)누리플랜,69140,2017/12,+,0,+
7710,(주)누리플랜,69140,2018/12,-,0,-
7729,(주)누리플랜,69140,2019/12,0,0,0
7731,(주)누리플랜,69140,2020/12,0,0,0
7752,(주)누리플랜,69140,2021/12,+,+,+
7781,(주)누리플렉스,40160,2011/12,0,0,0
7991,(주)누리플렉스,40160,2012/12,-,-,-
8006,(주)누리플렉스,40160,2013/12,-,+,-
8022,(주)누리플렉스,40160,2014/12,-,+,+
8033,(주)누리플렉스,40160,2015/12,+,+,+
8050,(주)누리플렉스,40160,2016/12,-,-,-
8051,(주)누리플렉스,40160,2017/12,+,+,+
8068,(주)누리플렉스,40160,2018/12,+,+,+
8071,(주)누리플렉스,40160,2019/12,+,-,-
8087,(주)누리플렉스,40160,2020/12,-,+,-
8096,(주)누리플렉스,40160,2021/12,-,-,-
8109,(주)뉴보텍,60260,2011/12,0,0,0
8118,(주)뉴보텍,60260,2012/12,-,0,-
8131,(주)뉴보텍,60260,2013/12,-,0,-
8141,(주)뉴보텍,60260,2014/12,0,0,0
8147,(주)뉴보텍,60260,2015/12,0,0,0
8154,(주)뉴보텍,60260,2016/12,0,0,0
8161,(주)뉴보텍,60260,2017/12,+,+,+
8169,(주)뉴보텍,60260,2018/12,-,+,-
8179,(주)뉴보텍,60260,2019/12,+,-,+
8186,(주)뉴보텍,60260,2020/12,-,+,+
8198,(주)뉴보텍,60260,2021/12,+,-,+
8211,(주)뉴인텍,12340,2011/12,0,0,0
8237,(주)뉴인텍,12340,2012/12,+,-,+
8269,(주)뉴인텍,12340,2013/12,+,+,+
8298,(주)뉴인텍,12340,2014/12,+,+,+
8332,(주)뉴인텍,12340,2015/12,-,-,-
8333,(주)뉴인텍,12340,2016/12,-,-,-
8339,(주)뉴인텍,12340,2017/12,-,+,+
8344,(주)뉴인텍,12340,2018/12,+,-,-
8349,(주)뉴인텍,12340,2019/12,+,+,+
8354,(주)뉴인텍,12340,2020/12,+,+,+
8362,(주)뉴인텍,12340,2021/12,+,+,+
8368,(주)뉴트리,270870,2018/12,0,0,0
8372,(주)뉴트리,270870,2019/12,-,-,-
8378,(주)뉴트리,270870,2020/12,0,0,0
8383,(주)뉴트리,270870,2021/12,0,0,0
8392,(주)뉴파워프라즈마,144960,2016/12,0,0,0
8398,(주)뉴파워프라즈마,144960,2017/12,+,+,+
8403,(주)뉴파워프라즈마,144960,2018/12,-,+,-
8405,(주)뉴파워프라즈마,144960,2019/12,-,-,-
8411,(주)뉴파워프라즈마,144960,2020/12,+,+,+
8413,(주)뉴파워프라즈마,144960,2021/12,+,+,+
8420,(주)뉴프렉스,85670,2011/12,0,0,0
8426,(주)뉴프렉스,85670,2012/12,+,+,+
8429,(주)뉴프렉스,85670,2013/12,+,+,+
8434,(주)뉴프렉스,85670,2014/12,+,-,+
8438,(주)뉴프렉스,85670,2015/12,-,-,-
8441,(주)뉴프렉스,85670,2016/12,+,+,+
8446,(주)뉴프렉스,85670,2017/12,-,+,+
8447,(주)뉴프렉스,85670,2018/12,-,+,+
8450,(주)뉴프렉스,85670,2019/12,-,-,-
8453,(주)뉴프렉스,85670,2020/12,+,+,+
8456,(주)뉴프렉스,85670,2021/12,+,+,+
8462,(주)다날,64260,2011/12,0,0,0
8468,(주)다날,64260,2012/12,+,0,+
8473,(주)다날,64260,2013/12,-,0,-
8474,(주)다날,64260,2014/12,0,0,0
8478,(주)다날,64260,2015/12,0,0,0
8480,(주)다날,64260,2016/12,0,0,0
8483,(주)다날,64260,2017/12,0,0,0
8490,(주)다날,64260,2018/12,0,0,0
8495,(주)다날,64260,2019/12,0,0,0
8499,(주)다날,64260,2020/12,0,0,0
8501,(주)다날,64260,2021/12,0,0,0
8516,(주)다린,204690,2014/12,0,0,0
8528,(주)다린,204690,2015/12,+,+,+
8531,(주)다린,204690,2016/12,+,+,+
8546,(주)다보링크,340360,2021/12,0,0,0
8551,(주)다산네트웍스,39560,2011/12,0,0,0
8664,(주)다산네트웍스,39560,2012/12,-,+,+
8724,(주)다산네트웍스,39560,2013/12,+,-,+
8817,(주)다산네트웍스,39560,2014/12,+,+,+
8840,(주)다산네트웍스,39560,2015/12,+,-,+
8879,(주)다산네트웍스,39560,2016/12,-,-,-
8896,(주)다산네트웍스,39560,2017/12,0,0,0
8913,(주)다산네트웍스,39560,2018/12,0,0,0
8919,(주)다산네트웍스,39560,2019/12,+,+,+
8934,(주)다산네트웍스,39560,2020/12,-,-,-
8949,(주)다산네트웍스,39560,2021/12,+,+,+
8956,(주)다우데이타,32190,2011/12,0,0,0
8965,(주)다우데이타,32190,2012/12,+,0,+
8980,(주)다우데이타,32190,2013/12,-,0,-
8987,(주)다우데이타,32190,2014/12,0,0,0
8998,(주)다우데이타,32190,2015/12,0,0,0
9010,(주)다우데이타,32190,2016/12,0,0,0
9012,(주)다우데이타,32190,2017/12,0,0,0
9021,(주)다우데이타,32190,2018/12,0,0,0
9048,(주)다우데이타,32190,2019/12,0,0,0
9073,(주)다우데이타,32190,2020/12,0,0,0
9101,(주)다우데이타,32190,2021/12,0,0,0
9107,(주)다원시스,68240,2011/12,0,0,0
9113,(주)다원시스,68240,2012/12,+,-,+
9122,(주)다원시스,68240,2013/12,+,+,+
9144,(주)다원시스,68240,2014/12,-,-,-
9154,(주)다원시스,68240,2015/12,0,0,0
9160,(주)다원시스,68240,2016/12,+,+,+
9166,(주)다원시스,68240,2017/12,+,+,+
9171,(주)다원시스,68240,2018/12,+,-,+
9173,(주)다원시스,68240,2019/12,+,+,+
9178,(주)다원시스,68240,2020/12,+,-,+
9185,(주)다원시스,68240,2021/12,+,-,+
9192,(주)대국,42340,2011/12,0,0,0
9194,(주)대동스틸,48470,2011/12,0,0,0
9208,(주)대동스틸,48470,2012/12,+,0,+
9215,(주)대동스틸,48470,2013/12,-,0,-
9230,(주)대동스틸,48470,2014/12,0,0,0
9235,(주)대동스틸,48470,2015/12,0,0,0
9249,(주)대동스틸,48470,2016/12,0,0,0
9260,(주)대동스틸,48470,2017/12,0,0,0
9270,(주)대동스틸,48470,2018/12,0,0,0
9279,(주)대동스틸,48470,2019/12,+,0,+
9293,(주)대동스틸,48470,2020/12,-,0,-
9307,(주)대동스틸,48470,2021/12,0,0,0
9312,(주)대륙제관,4780,2011/12,0,0,0
9313,(주)대륙제관,4780,2012/12,+,0,+
9318,(주)대륙제관,4780,2013/12,-,0,-
9322,(주)대륙제관,4780,2014/12,0,0,0
9326,(주)대륙제관,4780,2015/12,0,0,0
9332,(주)대륙제관,4780,2016/12,0,0,0
9336,(주)대륙제관,4780,2017/12,0,0,0
9337,(주)대륙제관,4780,2018/12,0,0,0
9341,(주)대륙제관,4780,2019/12,0,0,0
9347,(주)대륙제관,4780,2020/12,0,0,0
9350,(주)대륙제관,4780,2021/12,0,0,0
9354,(주)대림제지,17650,2011/12,0,0,0
9355,(주)대림제지,17650,2012/12,-,+,-
9359,(주)대림제지,17650,2013/12,-,+,-
9362,(주)대림제지,17650,2014/12,-,-,-
9364,(주)대림제지,17650,2015/12,-,+,-
9367,(주)대림제지,17650,2016/12,+,+,+
9371,(주)대림제지,17650,2017/12,+,+,+
9376,(주)대림제지,17650,2018/12,+,-,+
9383,(주)대림제지,17650,2019/12,-,+,-
9387,(주)대림제지,17650,2020/12,+,+,+
9391,(주)대림제지,17650,2021/12,+,-,+
9399,(주)대명소노시즌,7720,2011/12,0,0,0
9402,(주)대명소노시즌,7720,2012/12,-,0,-
9408,(주)대명소노시즌,7720,2013/12,-,0,-
9416,(주)대명소노시즌,7720,2014/12,0,0,0
9424,(주)대명소노시즌,7720,2015/12,0,0,0
9428,(주)대명소노시즌,7720,2016/12,0,0,0
9430,(주)대명소노시즌,7720,2017/12,0,0,0
9438,(주)대명소노시즌,7720,2018/12,0,0,0
9452,(주)대명소노시즌,7720,2019/12,0,0,0
9488,(주)대명소노시즌,7720,2020/12,0,0,0
9492,(주)대명소노시즌,7720,2021/12,0,0,0
9497,(주)대성미생물연구소,36480,2011/12,0,0,0
9499,(주)대성미생물연구소,36480,2012/12,-,+,-
9503,(주)대성미생물연구소,36480,2013/12,+,+,+
9509,(주)대성미생물연구소,36480,2014/12,+,+,+
9511,(주)대성미생물연구소,36480,2015/12,+,+,+
9515,(주)대성미생물연구소,36480,2016/12,-,+,-
9519,(주)대성미생물연구소,36480,2017/12,-,-,-
9525,(주)대성미생물연구소,36480,2018/12,+,-,+
9526,(주)대성미생물연구소,36480,2019/12,-,+,+
9530,(주)대성미생물연구소,36480,2020/12,-,+,-
9534,(주)대성미생물연구소,36480,2021/12,-,+,-
9579,(주)대성파인텍,104040,2011/12,0,0,0
9619,(주)대성파인텍,104040,2012/12,+,+,+
9656,(주)대성파인텍,104040,2013/12,+,-,+
9746,(주)대성파인텍,104040,2014/12,+,+,+
9834,(주)대성파인텍,104040,2015/12,+,+,+
9928,(주)대성파인텍,104040,2016/12,+,+,+
10017,(주)대성파인텍,104040,2017/12,-,-,-
10104,(주)대성파인텍,104040,2018/12,-,-,-
10195,(주)대성파인텍,104040,2019/12,+,-,-
10211,(주)대성파인텍,104040,2020/12,-,-,-
10219,(주)대성파인텍,104040,2021/12,+,-,+
10239,(주)대원,7680,2017/12,0,0,0
10248,(주)대원,7680,2018/12,+,0,+
10253,(주)대원,7680,2019/12,-,0,-
10257,(주)대원,7680,2020/12,-,0,-
10267,(주)대원,7680,2021/12,+,0,+
10273,(주)대원모방,311840,2018/12,0,0,0
10285,(주)대유,290380,2018/12,0,0,0
10296,(주)대유,290380,2019/12,+,0,+
10301,(주)대유,290380,2020/12,+,0,+
10310,(주)대유,290380,2021/12,+,0,+
10314,(주)대유에이피,290120,2018/12,0,0,0
10325,(주)대유에이피,290120,2019/12,-,-,-
10328,(주)대유에이피,290120,2020/12,+,-,+
10334,(주)대유에이피,290120,2021/12,-,+,+
10339,(주)대창솔루션,96350,2011/12,0,0,0
10349,(주)대창솔루션,96350,2012/12,-,-,-
10352,(주)대창솔루션,96350,2013/12,-,-,-
10354,(주)대창솔루션,96350,2014/12,+,+,+
10358,(주)대창솔루션,96350,2015/12,-,-,-
10364,(주)대창솔루션,96350,2016/12,-,-,-
10367,(주)대창솔루션,96350,2017/12,-,-,-
10372,(주)대창솔루션,96350,2018/12,-,+,+
10384,(주)대창솔루션,96350,2019/12,-,+,+
10386,(주)대창솔루션,96350,2020/12,-,-,-
10400,(주)대창솔루션,96350,2021/12,-,+,+
10634,(주)대창스틸,140520,2014/12,0,0,0
10667,(주)대창스틸,140520,2015/12,-,+,-
10686,(주)대창스틸,140520,2016/12,+,+,+
10706,(주)대창스틸,140520,2017/12,-,-,-
10728,(주)대창스틸,140520,2018/12,-,-,-
10742,(주)대창스틸,140520,2019/12,-,-,-
11107,(주)대창스틸,140520,2020/12,-,-,-
11614,(주)대창스틸,140520,2021/12,+,+,+
11663,(주)대한과학,131220,2011/12,0,0,0
11679,(주)대한과학,131220,2012/12,+,-,+
11688,(주)대한과학,131220,2013/12,+,-,+
11704,(주)대한과학,131220,2014/12,-,+,-
11706,(주)대한과학,131220,2015/12,+,+,+
11728,(주)대한과학,131220,2016/12,+,-,+
11743,(주)대한과학,131220,2017/12,-,-,-
11755,(주)대한과학,131220,2018/12,+,+,+
11762,(주)대한과학,131220,2019/12,+,+,+
11779,(주)대한과학,131220,2020/12,+,+,+
11783,(주)대한과학,131220,2021/12,+,+,+
11795,(주)대호특수강,21040,2011/12,0,0,0
11813,(주)대호특수강,21040,2012/12,+,+,+
11839,(주)대호특수강,21040,2013/12,+,+,+
11849,(주)대호특수강,21040,2014/12,-,-,-
11859,(주)대호특수강,21040,2015/12,-,+,-
11870,(주)대호특수강,21040,2016/12,-,+,-
11874,(주)대호특수강,21040,2017/12,+,+,+
11884,(주)대호특수강,21040,2018/12,+,+,+
11885,(주)대호특수강,21040,2019/12,-,+,-
11896,(주)대호특수강,21040,2020/12,-,-,-
11902,(주)대호특수강,21040,2021/12,+,-,+
11922,(주)더 미동,161570,2013/12,0,0,0
11934,(주)더 미동,161570,2014/12,-,+,-
11935,(주)더 미동,161570,2015/12,+,+,+
11945,(주)더 미동,161570,2016/12,-,-,-
11947,(주)더 미동,161570,2017/12,-,-,-
11950,(주)더 미동,161570,2018/12,-,-,-
11955,(주)더 미동,161570,2021/12,-,-,-
11964,(주)더네이쳐홀딩스,298540,2020/12,0,0,0
11973,(주)더네이쳐홀딩스,298540,2021/12,+,+,+
11979,(주)더블유게임즈,192080,2015/12,0,0,0
11990,(주)더블유게임즈,192080,2016/12,+,+,+
11997,(주)더블유게임즈,192080,2017/12,-,+,+
12012,(주)더블유에스아이,299170,2020/12,0,0,0
12019,(주)더블유에스아이,299170,2021/12,0,0,0
12029,(주)더코디,224060,2015/12,0,0,0
12044,(주)더코디,224060,2016/12,+,-,-
12051,(주)더코디,224060,2017/12,+,-,+
12061,(주)더코디,224060,2018/12,-,-,-
12064,(주)더코디,224060,2019/12,-,-,-
12069,(주)더코디,224060,2020/12,+,0,+
12074,(주)더코디,224060,2021/12,+,0,+
12083,(주)덕산테코피아,317330,2019/12,0,0,0
12100,(주)덕산테코피아,317330,2020/12,+,+,+
12102,(주)덕산테코피아,317330,2021/12,+,+,+
12110,(주)덕신하우징,90410,2014/12,0,0,0
12116,(주)덕신하우징,90410,2015/12,-,0,-
12119,(주)덕신하우징,90410,2016/12,+,+,+
12123,(주)덕신하우징,90410,2017/12,-,-,-
12127,(주)덕신하우징,90410,2018/12,+,+,+
12137,(주)덕신하우징,90410,2019/12,+,-,+
12142,(주)덕신하우징,90410,2020/12,-,-,-
12146,(주)덕신하우징,90410,2021/12,0,0,0
12158,(주)데이타솔루션,263800,2017/12,0,0,0
12164,(주)데이타솔루션,263800,2018/12,+,-,+
12170,(주)데이타솔루션,263800,2019/12,+,+,+
12174,(주)데이타솔루션,263800,2020/12,-,-,-
12182,(주)데이타솔루션,263800,2021/12,+,+,+
12185,(주)데코앤이,17680,2011/12,0,0,0
12195,(주)데코앤이,17680,2012/12,-,+,-
12204,(주)데코앤이,17680,2013/12,-,-,-
12210,(주)데코앤이,17680,2014/12,-,-,-
12215,(주)데코앤이,17680,2015/12,-,-,-
12218,(주)데코앤이,17680,2016/12,-,-,-
12221,(주)데코앤이,17680,2017/12,-,-,-
12225,(주)데코앤이,17680,2018/12,-,0,-
12231,(주)덱스터스튜디오,206560,2015/12,0,0,0
12235,(주)덱스터스튜디오,206560,2016/12,+,+,+
12237,(주)덱스터스튜디오,206560,2017/12,+,-,-
12240,(주)덱스터스튜디오,206560,2018/12,+,+,+
12243,(주)덱스터스튜디오,206560,2019/12,+,+,+
12246,(주)덱스터스튜디오,206560,2020/12,-,-,-
12248,(주)덱스터스튜디오,206560,2021/12,+,-,+
12258,(주)덴티스,261200,2020/12,0,0,0
12265,(주)덴티스,261200,2021/12,+,+,+
12461,(주)동구바이오제약,6620,2017/12,0,0,0
12478,(주)동구바이오제약,6620,2018/12,+,+,+
12487,(주)동구바이오제약,6620,2019/12,+,+,+
12496,(주)동구바이오제약,6620,2020/12,+,+,+
12504,(주)동구바이오제약,6620,2021/12,+,-,+
12507,(주)동국알앤에스,75970,2011/12,0,0,0
12512,(주)동국알앤에스,75970,2012/12,-,-,-
12515,(주)동국알앤에스,75970,2013/12,-,+,-
12516,(주)동국알앤에스,75970,2014/12,-,+,-
12520,(주)동국알앤에스,75970,2015/12,-,-,-
12522,(주)동국알앤에스,75970,2016/12,-,+,-
12525,(주)동국알앤에스,75970,2017/12,-,+,+
12529,(주)동국알앤에스,75970,2018/12,+,+,+
12531,(주)동국알앤에스,75970,2019/12,-,+,+
12535,(주)동국알앤에스,75970,2020/12,-,-,-
12538,(주)동국알앤에스,75970,2021/12,+,-,+
12540,(주)동국에스엔씨,100130,2011/12,0,0,0
12544,(주)동국에스엔씨,100130,2012/12,+,+,+
12548,(주)동국에스엔씨,100130,2013/12,-,+,+
12552,(주)동국에스엔씨,100130,2014/12,+,+,+
12557,(주)동국에스엔씨,100130,2015/12,+,-,+
12576,(주)동국에스엔씨,100130,2016/12,+,+,+
12599,(주)동국에스엔씨,100130,2017/12,+,-,-
12615,(주)동국에스엔씨,100130,2018/12,-,+,-
12637,(주)동국에스엔씨,100130,2019/12,-,-,-
12640,(주)동국에스엔씨,100130,2020/12,+,-,-
12649,(주)동국에스엔씨,100130,2021/12,+,+,+
12650,(주)동방선기,99410,2011/12,0,0,0
12662,(주)동방선기,99410,2012/12,-,-,-
12667,(주)동방선기,99410,2013/12,-,-,-
12672,(주)동방선기,99410,2014/12,+,-,+
12747,(주)동방선기,99410,2015/12,+,0,+
12788,(주)동방선기,99410,2016/12,-,0,-
12794,(주)동방선기,99410,2017/12,-,0,-
12798,(주)동방선기,99410,2018/12,-,0,-
12805,(주)동방선기,99410,2019/12,+,0,+
12808,(주)동방선기,99410,2020/12,-,0,-
12815,(주)동방선기,99410,2021/12,-,0,-
12817,(주)동서,26960,2011/12,0,0,0
12823,(주)동서,26960,2012/12,+,+,+
12829,(주)동서,26960,2013/12,+,+,+
12833,(주)동서,26960,2014/12,+,-,+
12839,(주)동서,26960,2015/12,+,-,+
12841,(주)동성하이켐,13450,2011/12,0,0,0
12848,(주)동성하이켐,13450,2012/12,-,+,+
12853,(주)동성하이켐,13450,2013/12,-,+,+
12858,(주)동성하이켐,13450,2014/12,+,+,+
12862,(주)동성화인텍,33500,2011/12,0,0,0
12866,(주)동성화인텍,33500,2012/12,+,-,+
12869,(주)동성화인텍,33500,2013/12,+,+,+
12871,(주)동성화인텍,33500,2014/12,+,-,+
12876,(주)동성화인텍,33500,2015/12,-,-,-
12879,(주)동성화인텍,33500,2016/12,-,+,-
12881,(주)동성화인텍,33500,2017/12,-,-,-
12884,(주)동성화인텍,33500,2018/12,-,+,-
12886,(주)동성화인텍,33500,2019/12,+,+,+
12889,(주)동성화인텍,33500,2020/12,+,-,+
12894,(주)동성화인텍,33500,2021/12,-,-,-
12895,(주)동아엘텍,88130,2011/12,0,0,0
12906,(주)동아엘텍,88130,2012/12,-,+,+
12908,(주)동아엘텍,88130,2013/12,+,+,+
12915,(주)동아엘텍,88130,2014/12,+,+,+
12938,(주)동아엘텍,88130,2015/12,-,+,+
12957,(주)동아엘텍,88130,2016/12,+,+,+
12976,(주)동아엘텍,88130,2017/12,-,+,+
12997,(주)동아엘텍,88130,2018/12,+,-,+
13026,(주)동아엘텍,88130,2019/12,+,-,-
13044,(주)동아엘텍,88130,2020/12,-,-,-
13071,(주)동아엘텍,88130,2021/12,+,-,+
13082,(주)동양에스텍,60380,2011/12,0,0,0
13208,(주)동양에스텍,60380,2012/12,-,0,-
13307,(주)동양에스텍,60380,2013/12,+,0,+
13345,(주)동양에스텍,60380,2014/12,-,0,-
13385,(주)동양에스텍,60380,2015/12,-,+,-
13442,(주)동양에스텍,60380,2016/12,+,-,+
13505,(주)동양에스텍,60380,2017/12,+,-,+
13572,(주)동양에스텍,60380,2018/12,+,-,+
13620,(주)동양에스텍,60380,2019/12,+,+,+
13690,(주)동양에스텍,60380,2020/12,-,-,-
13744,(주)동양에스텍,60380,2021/12,+,-,+
13756,(주)동우팜투테이블,88910,2011/12,0,0,0
13760,(주)동우팜투테이블,88910,2012/12,-,0,-
13769,(주)동우팜투테이블,88910,2013/12,+,0,+
13780,(주)동우팜투테이블,88910,2014/12,-,0,-
13789,(주)동우팜투테이블,88910,2015/12,+,0,+
13797,(주)동우팜투테이블,88910,2016/12,-,0,-
13804,(주)동우팜투테이블,88910,2017/12,-,0,-
13818,(주)동우팜투테이블,88910,2018/12,+,0,+
13902,(주)동우팜투테이블,88910,2019/12,+,0,+
13909,(주)동우팜투테이블,88910,2020/12,+,0,+
13914,(주)동우팜투테이블,88910,2021/12,+,0,+
13929,(주)동운아나텍,94170,2015/12,0,0,0
13933,(주)동운아나텍,94170,2016/12,+,-,-
13936,(주)동운아나텍,94170,2017/12,-,+,+
13941,(주)동운아나텍,94170,2018/12,+,-,-
13949,(주)동운아나텍,94170,2019/12,-,+,+
13950,(주)동운아나텍,94170,2020/12,+,+,+
13957,(주)동운아나텍,94170,2021/12,+,-,-
13966,(주)동원개발,13120,2011/12,0,0,0
13969,(주)동원개발,13120,2012/12,+,0,+
13972,(주)동원개발,13120,2013/12,-,0,-
13980,(주)동원개발,13120,2014/12,+,0,+
13984,(주)동원개발,13120,2015/12,-,0,-
13990,(주)동원개발,13120,2016/12,+,0,+
13995,(주)동원개발,13120,2017/12,+,0,+
13997,(주)동원개발,13120,2018/12,+,0,+
14004,(주)동원개발,13120,2019/12,+,0,+
14008,(주)동원개발,13120,2020/12,-,0,-
14034,(주)동원개발,13120,2021/12,-,0,-
14037,(주)동일기연,32960,2011/12,0,0,0
14042,(주)동일기연,32960,2013/12,+,-,-
14047,(주)동일기연,32960,2014/12,+,-,+
14051,(주)동일기연,32960,2015/12,+,-,-
14053,(주)동일기연,32960,2016/12,+,-,-
14056,(주)동일기연,32960,2017/12,+,+,+
14060,(주)동일기연,32960,2018/12,-,-,-
14068,(주)동일기연,32960,2019/12,-,+,+
14070,(주)동일기연,32960,2020/12,-,-,-
14076,(주)동일기연,32960,2021/12,+,-,+
14079,(주)동진쎄미켐,5290,2011/12,0,0,0
14086,(주)동진쎄미켐,5290,2012/12,+,+,+
14094,(주)동진쎄미켐,5290,2013/12,+,-,+
14098,(주)동진쎄미켐,5290,2014/12,+,-,+
14107,(주)동진쎄미켐,5290,2015/12,+,+,+
14117,(주)동진쎄미켐,5290,2016/12,+,+,+
14119,(주)동진쎄미켐,5290,2017/12,-,+,+
14133,(주)동진쎄미켐,5290,2018/12,+,-,+
14141,(주)동진쎄미켐,5290,2019/12,+,+,+
14152,(주)동진쎄미켐,5290,2020/12,+,-,+
14157,(주)동진쎄미켐,5290,2021/12,+,+,+
14170,(주)두산테스나,131970,2013/12,0,0,0
14174,(주)두산테스나,131970,2014/12,-,+,-
14178,(주)두산테스나,131970,2015/12,-,+,-
14180,(주)두산테스나,131970,2016/12,-,-,-
