회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)국보디자인,066620,2021/12,341,25900000,1988/03/02,11.42,53.14
(주)국순당,043650,2011/12,410,14441000,1983/02/05,3.57,48.13
(주)국순당,043650,2012/12,377,15122000,1983/02/05,1.04,48.07
(주)국순당,043650,2013/12,365,14578000,1983/02/05,0.63,43.71
(주)국순당,043650,2014/12,350,14026000,1983/02/05,1.85,43.74
(주)국순당,043650,2015/12,336,13107000,1983/02/05,2.44,43.69
(주)국순당,043650,2016/12,309,12662000,1983/02/05,3.14,42.01
(주)국순당,043650,2017/12,256,10565000,1983/02/05,3.85,42.01
(주)국순당,043650,2018/12,260,10915000,1983/02/05,2.71,42.01
(주)국순당,043650,2019/12,248,10859000,1983/02/05,2.91,42.01
(주)국순당,043650,2020/12,234,10393000,1983/02/05,0.16,42.83
(주)국순당,043650,2021/12,238,10607000,1983/02/05,1.84,42.83
(주)국영지앤엠,006050,2011/12,105,3509973,1969/05/07,0.94,16.39
(주)국영지앤엠,006050,2012/12,98,3835468,1969/05/07,0.52,16.76
(주)국영지앤엠,006050,2013/12,102,3873327,1969/05/07,0.53,14.7
(주)국영지앤엠,006050,2014/12,120,4239622,1969/05/07,0.95,14.42
(주)국영지앤엠,006050,2015/12,105,4327312,1969/05/07,0.25,13.88
(주)국영지앤엠,006050,2016/12,113,4577228,1969/05/07,0.54,13.56
(주)국영지앤엠,006050,2017/12,111,5041377,1969/05/07,3.23,15.19
(주)국영지앤엠,006050,2018/12,107,4777136,1969/05/07,3.24,15.19
(주)국영지앤엠,006050,2019/12,115,5188568,1969/05/07,2.97,14.37
(주)국영지앤엠,006050,2020/12,121,5572156,1969/05/07,2.84,13.64
(주)국영지앤엠,006050,2021/12,111,5201962,1969/05/07,4.55,14.23
(주)국전약품,307750,2018/12,1,0,2018/09/11,0.1,9.98
(주)국전약품,307750,2019/12,1,0,2018/09/11,0,9.98
(주)국전약품,307750,2020/12,109,5291000,2018/09/11,0.01,80.77
(주)국전약품,307750,2021/12,125,5511540,2018/09/11,0.87,61.99
(주)그래디언트,035080,2011/12,59,4150357,1997/10/01,3.82,39.03
(주)그래디언트,035080,2012/12,14,646726,1997/10/01,1.27,39.04
(주)그래디언트,035080,2013/12,18,631091,1997/10/01,16.57,36.4
(주)그래디언트,035080,2014/12,25,905535,1997/10/01,25.13,35.09
(주)그래디언트,035080,2015/12,19,527125,1997/10/01,32.35,35.36
(주)그래디언트,035080,2016/12,11,574804,1997/10/01,26.19,35.71
(주)그래디언트,035080,2017/12,12,457243,1997/10/01,25.36,36
(주)그래디언트,035080,2018/12,10,462832,1997/10/01,20.6,36.1
(주)그래디언트,035080,2019/12,32,1242116,1997/10/01,15.73,36.11
(주)그래디언트,035080,2020/12,1145,25779133,1997/10/01,8.5,28.58
(주)그래디언트,035080,2021/12,1196,52912583,1997/10/01,5.64,28.22
(주)그리티,204020,2011/12,,,1999/09/15,,
(주)그리티,204020,2012/12,,,1999/09/15,,
(주)그리티,204020,2013/12,,,1999/09/15,,
(주)그리티,204020,2014/12,,,1999/09/15,,
(주)그리티,204020,2015/12,,,1999/09/15,,
(주)그리티,204020,2016/12,,,1999/09/15,,
(주)그리티,204020,2017/12,,,1999/09/15,,
(주)그리티,204020,2018/12,94,4765000,1999/09/15,0.24,41.09
(주)그리티,204020,2019/12,96,4203000,1999/09/15,2.68,35.17
(주)그리티,204020,2020/12,107,4826000,1999/09/15,0.87,37.72
(주)그리티,204020,2021/12,100,5765000,1999/09/15,5.75,34.24
(주)그린플러스,186230,2011/12,,,1997/10/21,,
(주)그린플러스,186230,2012/12,,,1997/10/21,,
(주)그린플러스,186230,2013/12,74,2420699,1997/10/21,,49.42
(주)그린플러스,186230,2014/12,83,2663233,1997/10/21,,50.91
(주)그린플러스,186230,2015/12,83,3322295,1997/10/21,,50.12
(주)그린플러스,186230,2016/12,89,3335676,1997/10/21,,40.53
(주)그린플러스,186230,2017/12,89,3436316,1997/10/21,,40.53
(주)그린플러스,186230,2018/12,91,3691690,1997/10/21,,39.63
(주)그린플러스,186230,2019/12,95,4240436,1997/10/21,0.68,32.39
(주)그린플러스,186230,2020/12,105,4569923,1997/10/21,2.23,32.46
(주)그린플러스,186230,2021/12,119,5920405,1997/10/21,2.37,29.3
(주)극동자동화,272420,2014/12,,,1991/07/01,,
(주)극동자동화,272420,2015/12,,,1991/07/01,,
(주)극동자동화,272420,2016/12,,,1991/07/01,,
(주)극동자동화,272420,2017/12,56,2097559,1991/07/01,,100
(주)글로벌스탠다드테크놀로지,083450,2011/12,214,7264000,2001/10/12,0.42,28.62
(주)글로벌스탠다드테크놀로지,083450,2012/12,267,10270000,2001/10/12,0.63,33.04
(주)글로벌스탠다드테크놀로지,083450,2013/12,306,10707000,2001/10/12,0.81,26.87
(주)글로벌스탠다드테크놀로지,083450,2014/12,361,12023000,2001/10/12,2.63,24.32
(주)글로벌스탠다드테크놀로지,083450,2015/12,392,14188000,2001/10/12,4.25,25.35
(주)글로벌스탠다드테크놀로지,083450,2016/12,435,16600000,2001/10/12,2.73,25.35
(주)글로벌스탠다드테크놀로지,083450,2017/12,584,25543000,2001/10/12,9.68,25.89
(주)글로벌스탠다드테크놀로지,083450,2018/12,605,23720000,2001/10/12,7.03,25.9
(주)글로벌스탠다드테크놀로지,083450,2019/12,594,26020000,2001/10/12,8.75,25.95
(주)글로벌스탠다드테크놀로지,083450,2020/12,658,25516000,2001/10/12,5.57,25.27
(주)글로벌스탠다드테크놀로지,083450,2021/12,687,36452000,2001/10/12,11.33,23.15
(주)금빛,045890,2011/12,223,8887000,1999/07/15,0.32,26.94
(주)금빛,045890,2012/12,259,9217000,1999/07/15,0.2,26.94
(주)금빛,045890,2013/12,271,9800000,1999/07/15,0.56,26.94
(주)금빛,045890,2014/12,289,11631000,1999/07/15,0.28,26.94
(주)금빛,045890,2015/12,259,11815000,1999/07/15,0.91,26.94
(주)금빛,045890,2016/12,206,8977000,1999/07/15,0.3,26.44
(주)금빛,045890,2017/12,207,9553000,1999/07/15,1.2,26.04
(주)금빛,045890,2018/12,209,11139000,1999/07/15,4.14,14.39
(주)금빛,045890,2019/12,179,10275000,1999/07/15,1.56,21.53
(주)금빛,045890,2020/12,74,7422000,1999/07/15,0.35,13.3
(주)금오하이텍,165270,2011/12,,,2002/01/15,,
(주)금오하이텍,165270,2012/12,,,2002/01/15,,
(주)금오하이텍,165270,2013/12,89,1964217,2002/01/15,,79.96
(주)금오하이텍,165270,2014/12,93,2154736,2002/01/15,,79.96
(주)금오하이텍,165270,2015/12,126,2401976,2002/01/15,,58.93
(주)금오하이텍,165270,2016/12,148,3313959,2002/01/15,,59.02
