회사명,거래소코드,회계년도,자산(*)(요약)(IFRS),자본(*)(요약)(IFRS),차입금의존도(IFRS)(백만원),유보율(IFRS),현금비율(IFRS),부채비율(IFRS),당좌비율(IFRS),순운전자본비율(IFRS),*이자비용(요약)(IFRS)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS)(백만원),감가상각비(IFRS)(천원),자산(*)(요약)(IFRS연결),자본(*)(요약)(IFRS연결),차입금의존도(IFRS연결),유보율(IFRS연결)(백만원),현금비율(IFRS연결)(백만원),부채비율(IFRS연결),당좌비율(IFRS연결),순운전자본비율(IFRS연결),*이자비용(요약)(IFRS연결)(백만원),* (정상)영업손익(보고서기재)(요약)(IFRS연결)(백만원),감가상각비(IFRS연결)(천원),EBITDA(IFRS)(백만원)
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,115882,77394,8.83,2547.6,2.92,49.73,152.27,13.3,180,3018,28202,,,,,,,,,,,,5456.83
(주)고려시멘트,198440,2018/12,127537,86511,11.04,2605.16,3.23,47.42,154.43,15.96,417,3838,29017,,,,,,,,,,,,6331.58
(주)고려시멘트,198440,2019/12,127036,88445,9.5,2665.65,15.86,43.63,141.61,14.64,425,-460,42254,,,,,,,,,,,,1955.41
(주)고려시멘트,198440,2020/12,115338,92362,1.21,2788.13,78.78,24.88,334.7,24.32,104,4281,76851,,,,,,,,,,,,6668.93
(주)고려시멘트,198440,2021/12,146783,117151,0.91,3563.26,25.06,25.29,387.3,25.21,44,3698,27438,,,,,,,,,,,,5881.21
(주)고바이오랩,348150,2019/12,34574,-53757,,,,,,,777,-5735,38651,35322,-53624,,,,,,,777,-7352,38651,
(주)고바이오랩,348150,2020/12,55675,54134,0.15,597.67,19481.73,2.85,26179.72,97.75,708,-10214,54064,58537,55391,0.15,613.87,1315.08,5.68,1867.86,93.48,708,-12345,54064,-10003.96
(주)고바이오랩,348150,2021/12,100242,87385,9.17,869.75,1039.42,14.71,1858.19,87.95,153,-11047,67798,105285,90589,8.74,905.29,770.36,16.22,1438.04,87.17,153,-16337,67798,-10814.53
(주)고영테크놀러지,098460,2011/12,87018,70382,0,1531.89,24.7,23.64,343.05,54.48,0,19598,533216,87006,69623,0,1508.46,42.81,24.97,329.07,55.63,1,18821,639442,21156.45
(주)고영테크놀러지,098460,2012/12,103020,84091,0,1825.27,30.57,22.51,415.32,59.4,0,20358,528812,103352,83401,0,1804.37,49.28,23.92,385.1,60.23,13,21443,612017,22322.3
(주)고영테크놀러지,098460,2013/12,121329,100052,0,2134.39,64.99,21.27,459.24,63.53,0,17779,683349,120952,98320,0,2090.86,82.6,23.02,415.02,63.72,38,16773,770088,19884.9
(주)고영테크놀러지,098460,2014/12,141873,118349,0,1710.55,73.01,19.88,501.09,62.31,0,27729,912465,141720,115835,0.29,1670,96.89,22.35,442.26,62.22,17,28155,970624,30640.34
(주)고영테크놀러지,098460,2015/12,160171,133571,0,2023.81,94.56,19.91,552.74,65.3,0,26173,1414892,158858,131476,0.17,1988.27,126.58,20.83,487.87,63.47,10,23450,1532339,29444.76
