,거래소코드,시가총액,회계년도
630,071670,112000000000,20111229
631,032960,111673201400,20111229
632,045390,111660606220,20111229
633,027390,111600000000,20111229
634,057030,111578847480,20111229
635,003850,111071700000,20111229
636,028100,110745000000,20111229
637,009310,110649060990,20111229
638,005500,110505000000,20111229
639,016580,109740413000,20111229
640,068790,109579700730,20111229
641,000800,109169576710,20111229
642,003100,108900000000,20111229
643,001530,108473603000,20111229
644,143160,108406380000,20111229
645,066970,108244500000,20111229
646,043150,107693356000,20111229
647,065770,107520000000,20111229
648,019260,107417343200,20111229
649,024950,107383237930,20111229
650,004540,107195272850,20111229
651,045100,107100000000,20111229
652,005070,107007955200,20111229
653,035450,106607204880,20111229
654,005620,106145543000,20111229
655,007150,105897899210,20111229
656,000835,105524423100,20111229
657,003060,105504576400,20111229
658,061970,105157258560,20111229
659,005610,104842459350,20111229
660,058430,104700000000,20111229
661,015860,104616663960,20111229
662,024660,104385388770,20111229
663,041650,104029175250,20111229
664,092220,103886940738,20111229
665,012690,103679507925,20111229
666,043290,103657375000,20111229
667,001340,103233672850,20111229
668,043100,103203170200,20111229
669,007700,103180000000,20111229
670,016560,102940920000,20111229
671,067170,102488890560,20111229
672,046210,102240804430,20111229
673,033560,102240000000,20111229
674,004140,101808378100,20111229
675,069640,101200000000,20111229
676,012800,101165953890,20111229
677,060560,101080000000,20111229
678,119650,100980000000,20111229
679,060300,100393225500,20111229
680,022520,100222294200,20111229
681,003830,99998400000,20111229
682,027710,99857676405,20111229
683,081000,99810078750,20111229
684,072520,99750000000,20111229
685,129260,99721670400,20111229
686,122450,99624537900,20111229
687,033500,99434599165,20111229
688,101730,99264000000,20111229
689,012030,99258844400,20111229
690,008020,98926903200,20111229
691,005960,98819214575,20111229
692,004250,98776800000,20111229
693,000850,98670000000,20111229
694,046440,98638379460,20111229
695,012170,98136346660,20111229
696,072020,98088000000,20111229
697,060150,97938750000,20111229
698,058860,97445600000,20111229
699,005430,97207098500,20111229
700,090730,97110000000,20111229
701,002300,97096010600,20111229
702,011150,97013087100,20111229
703,008080,96453546875,20111229
704,012200,96333000000,20111229
705,102260,96244653330,20111229
706,058850,96223950000,20111229
707,001460,96190710000,20111229
708,065420,96079865600,20111229
709,039560,95705711080,20111229
710,079660,95228000000,20111229
711,078070,95188000000,20111229
712,040420,95186960960,20111229
713,000860,94900000000,20111229
714,037330,94497151650,20111229
715,024880,94409445600,20111229
716,031330,94395980920,20111229
717,067830,94394058500,20111229
718,035610,93113119785,20111229
719,084730,92689764950,20111229
720,000910,92680145900,20111229
721,034950,92626485600,20111229
722,015890,92508993750,20111229
723,025560,92506757850,20111229
724,052220,92345000000,20111229
725,131100,91640000000,20111229
726,100120,91217008800,20111229
727,000320,90674457570,20111229
728,067080,90644427000,20111229
729,010820,90256141200,20111229
730,108380,90110397000,20111229
731,000180,90000000000,20111229
732,065270,89854575800,20111229
733,013520,89740081900,20111229
734,107590,89504100000,20111229
735,121910,89123100000,20111229
736,097955,89070754300,20111229
737,074600,88929360000,20111229
738,017890,88907702400,20111229
739,002810,88800000000,20111229
740,052290,88723495440,20111229
741,086200,88521185600,20111229
742,086890,88470683700,20111229
743,054670,87954297350,20111229
744,037440,87850817250,20111229
745,056080,87729748650,20111229
746,033270,87489820600,20111229
747,000490,87201171750,20111229
748,109860,87150000000,20111229
749,021050,87140847850,20111229
750,005945,86995162480,20111229
751,006980,86983500000,20111229
752,066910,86929243555,20111229
753,090460,86853364500,20111229
754,110310,86851296300,20111229
755,033130,86849724780,20111229
756,004080,86592000000,20111229
757,003960,86577912750,20111229
758,032850,86246537920,20111229
759,054800,86076810000,20111229
760,104460,86073450000,20111229
761,000215,86070000000,20111229
762,092130,85750432000,20111229
763,047400,85470000000,20111229
764,138070,85275000000,20111229
765,007590,85246032020,20111229
766,007720,84672380520,20111229
767,004780,84445986690,20111229
768,005800,84420000000,20111229
769,090120,84274479260,20111229
770,123860,84225356800,20111229
771,063160,84194772900,20111229
772,106240,83483954050,20111229
773,048530,83386330300,20111229
774,007110,83265855750,20111229
775,017510,83090700000,20111229
776,065130,83088530200,20111229
777,095190,83037998450,20111229
778,034590,82800000000,20111229
