회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)경인양행,012610,2019/12,20,제조업
(주)경인양행,012610,2020/12,20,제조업
(주)경인양행,012610,2021/12,20,제조업
(주)광명전기,017040,2011/12,28,제조업
(주)광명전기,017040,2012/12,28,제조업
(주)광명전기,017040,2013/12,28,제조업
(주)광명전기,017040,2014/12,28,제조업
(주)광명전기,017040,2015/12,28,제조업
(주)광명전기,017040,2016/12,28,제조업
(주)광명전기,017040,2017/12,28,제조업
(주)광명전기,017040,2018/12,28,제조업
(주)광명전기,017040,2019/12,28,제조업
(주)광명전기,017040,2020/12,28,제조업
(주)광명전기,017040,2021/12,28,제조업
(주)광주신세계,037710,2011/12,47,도매 및 소매업
(주)광주신세계,037710,2012/12,47,도매 및 소매업
(주)광주신세계,037710,2013/12,47,도매 및 소매업
(주)광주신세계,037710,2014/12,47,도매 및 소매업
(주)광주신세계,037710,2015/12,47,도매 및 소매업
(주)광주신세계,037710,2016/12,47,도매 및 소매업
(주)광주신세계,037710,2017/12,47,도매 및 소매업
(주)광주신세계,037710,2018/12,47,도매 및 소매업
(주)광주신세계,037710,2019/12,47,도매 및 소매업
(주)광주신세계,037710,2020/12,47,도매 및 소매업
(주)광주신세계,037710,2021/12,47,도매 및 소매업
(주)국동,005320,2011/12,46,도매 및 소매업
(주)국동,005320,2012/12,46,도매 및 소매업
(주)국동,005320,2013/12,46,도매 및 소매업
(주)국동,005320,2014/12,46,도매 및 소매업
(주)국동,005320,2015/12,46,도매 및 소매업
(주)국동,005320,2016/12,46,도매 및 소매업
(주)국동,005320,2017/12,46,도매 및 소매업
(주)국동,005320,2018/12,46,도매 및 소매업
(주)국동,005320,2019/12,46,도매 및 소매업
(주)국동,005320,2020/12,46,도매 및 소매업
(주)국동,005320,2021/12,46,도매 및 소매업
(주)국보,001140,2011/12,49,운수 및 창고업
(주)국보,001140,2012/12,49,운수 및 창고업
(주)국보,001140,2013/12,49,운수 및 창고업
(주)국보,001140,2014/12,49,운수 및 창고업
(주)국보,001140,2015/12,49,운수 및 창고업
(주)국보,001140,2016/12,49,운수 및 창고업
(주)국보,001140,2017/12,49,운수 및 창고업
(주)국보,001140,2018/12,49,운수 및 창고업
(주)국보,001140,2019/12,49,운수 및 창고업
(주)국보,001140,2020/12,49,운수 및 창고업
(주)국보,001140,2021/12,49,운수 및 창고업
(주)금양,001570,2011/12,20,제조업
(주)금양,001570,2012/12,20,제조업
(주)금양,001570,2013/12,20,제조업
(주)금양,001570,2014/12,20,제조업
(주)금양,001570,2015/12,20,제조업
(주)금양,001570,2016/12,20,제조업
(주)금양,001570,2017/12,20,제조업
(주)금양,001570,2018/12,20,제조업
(주)금양,001570,2019/12,20,제조업
(주)금양,001570,2020/12,20,제조업
(주)금양,001570,2021/12,20,제조업
(주)금호에이치티,214330,2011/12,30,제조업
(주)금호에이치티,214330,2012/12,30,제조업
(주)금호에이치티,214330,2013/12,30,제조업
(주)금호에이치티,214330,2014/12,30,제조업
(주)금호에이치티,214330,2015/12,30,제조업
(주)금호에이치티,214330,2016/12,30,제조업
(주)금호에이치티,214330,2017/12,30,제조업
