,회사명,거래소코드,회계년도,산업군,target_3,총자본정상영업이익률,누적수익성비율,TMD,금융비용부담률,자기자본순이익률,총자본증가율,정상영업이익증가율
404,(주)아모레퍼시픽,90430,2020,제조업,0.0,-0.2519990782931376,1.3482176119109728,-0.5555535507518444,-0.3075226475090883,-0.0142747491643525,-0.5601158423443604,-0.2546426699561141
405,(주)아모레퍼시픽,90430,2021,제조업,0.0,0.3194086202308485,1.242663849382213,-0.5446364295892747,-0.361111496490576,0.0814712181679576,0.1310172080548157,0.4209127754064227
406,(주)아모레퍼시픽그룹,2790,2019,제조업,0.0,0.4550275360197693,0.1410456368124638,-0.5088640291130284,-0.3899670305575309,0.0829263240544669,0.4074701664389702,-0.0675005256747335
407,(주)아모레퍼시픽그룹,2790,2020,제조업,0.0,-0.3550694542927174,0.2026713727146818,-0.4883517722437087,-0.3157670858139326,-0.0279527444975396,-0.6262753563943054,-0.2650640897166054
408,(주)아모레퍼시픽그룹,2790,2021,제조업,0.0,0.1060348593896131,0.2219953595402147,-0.4616684944595675,-0.3776003731002645,0.1213411194583117,-0.1022163231986797,0.4088516229378665
409,(주)아이마켓코리아,122900,2019,도매 및 소매업,0.0,0.1693236867577762,-0.146673309914086,-0.0664522487273828,-0.4147003454720636,0.0884557264232021,-0.1868005066263894,0.1059817816813599
410,(주)아이마켓코리아,122900,2020,도매 및 소매업,0.0,-0.0313923086098265,-0.1600137149168677,0.0636980528343025,-0.4023336880147973,0.1338550300822914,-0.2127902750839286,-0.1094083323721619
411,(주)아이마켓코리아,122900,2021,도매 및 소매업,0.0,0.0409377798109312,-0.2391926852193732,-0.0163436852161358,-0.394089249709953,0.2691798775276537,-0.2374452886125095,0.0025451111642235
412,(주)아이에이치큐,3560,2019,정보통신업,0.0,-1.3369504046045038,-1.4481847110564925,-0.552454063792679,-0.7692111925803665,-1.173121077180337,-1.9066921043648903,-0.5957291966658722
413,(주)아이에이치큐,3560,2020,정보통신업,0.0,-2.57560316880998,-1.9362912093247653,-0.551301122882147,-0.8681444522384977,-0.4537167268901528,-0.9586897007701974,-0.4634868812793469
414,(주)아이에이치큐,3560,2021,정보통신업,0.0,-1.7890134572342398,-1.6896419018941808,-0.4238031724096765,1.102276302619279,-0.2901628252465106,3.3249226353674173,0.0553730375903093
415,(주)에넥스,11090,2019,제조업,0.0,-1.0512465553425103,-0.7756921005899071,-0.2515129509079319,-0.3405004007284654,-0.2238099968216877,-1.1470431421287628,-1.3774769664932365
416,(주)에넥스,11090,2020,제조업,0.0,-1.9517561561809444,-1.0125639141245275,-0.3144106985954861,-0.3034004283566662,-0.557611287186915,-1.1139750854601544,-0.6933233785724665
417,(주)에넥스,11090,2021,제조업,0.0,-2.508697837020779,-0.744469981129129,-0.4631252461884014,-0.2951559900518219,0.4854086122629317,0.726943193927552,-0.1835949005208821
418,(주)에스비에스,34120,2019,정보통신업,0.0,-0.4888801178711193,0.2279908451683283,-0.1275553375660415,-0.3858448114051087,0.0634279051752426,1.4493381368960208,0.4447070290958373
419,(주)에스비에스,34120,2020,정보통신업,0.0,0.3374911423360379,0.0894915486610832,-0.1791244788647523,-0.328133743271199,-0.3955124914297819,-0.6406146967845519,1.430504718318503
420,(주)에스비에스,34120,2021,정보통신업,0.0,1.8383404770667608,0.2218927777168757,-0.347424176971399,-0.4188225646244858,0.640813920942122,1.1418938908630138,0.5091679945538136
421,(주)에스원,12750,2019,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,1.351920632437165,1.45492555546492,-0.5473089362981873,-0.5177558242826168,0.2924615717118021,0.095910712879977,-0.0408131808460916
422,(주)에스원,12750,2020,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,1.3030978227531538,1.414855385013534,-0.5384817453275663,-0.4641669753011292,0.2680157928184464,0.0708839108000233,-0.0243377698458648
423,(주)에스원,12750,2021,"사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.9522968939124786,1.429549262722129,-0.5306716184160074,-0.4806558519108176,0.2231985315139607,-0.0865078729968971,-0.0766726669447713
424,(주)에스제이엠,123700,2019,제조업,0.0,-0.1398874412409632,0.9013623124886329,-0.3658619098845034,-0.5466113583495718,0.0861275570047873,0.2973739408950989,2.478873230278108
425,(주)에스제이엠,123700,2020,제조업,0.0,-0.1435039456620011,0.8830375793393928,-0.2967870492821481,-0.5095113859777726,0.0104620509063051,-0.1693643835167033,-0.0199063349826332
