,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,재고자산회전률,자기자본회전률,타인자본회전률,총자본회전률,외국인지분율,대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,업력,누적수익성비율,이자부담률,부채상환계수,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,EBITDA마진율,PBR변화율,ROA변화율,target_1,target_2,target_3,현금흐름/총부채비율,영업현금흐름-단기차입금,abs(영업현금흐름-당기순이익)/매출액
20,(주)강원랜드,035250,2021,1.66,17.66,30.05,"예술, 스포츠 및 여가관련 서비스업",-1.41,-0.33,-0.28,7.82,-1.43,7.37,0.59,283.39,0.24,1.63,0.21,18.74,36.27,-3.3628186107039264,64.74458762294208,0.1775161232006243,5.097741891547527,87.79032586935568,23.0,0.8336416033034487,15.255645821157218,15.255645821157218,0.0550977157887613,0.2674596319535078,0.1116522765298943,1.344369483180322,-0.0191373858096874,-242139.5,-167937.622,3.310669391057959,2.159076699460457,95.900439238653,0.0,0.0,0.0,0.3670687107145406,210874.0,0.280881190919203
21,(주)갤럭시아에스엠,011420,2019,0.09,29.56,25.97,"예술, 스포츠 및 여가관련 서비스업",-1.48,-5.7,-4.47,6.25,-0.33,2.09,75.26,0.0,1.19,4.35,0.93,3.13,36.95,103.1746031746032,30.24932003626473,-17.652614082804472,-15.06931705410038,95.58908879860708,44.0,-0.9561645775794916,23.68980392156863,5.299035087719298,0.0320090645138446,0.0314620819267044,0.1574873540551209,1.4485950478011471,-0.0427023581899298,-5397.0,-899.099,4.2048515644033,8.634694749455187,88.3956386292835,0.0,0.0,0.0,0.140307310259196,904.0,0.0793164653882295
22,(주)갤럭시아에스엠,011420,2021,5.5,23.75,21.96,"예술, 스포츠 및 여가관련 서비스업",9.94,13.69,10.6,27.25,0.03,2.1,9.3,13.01,1.07,3.68,0.83,0.64,36.66,23.77521613832853,47.896622313203686,59.51542062840871,43.23586061985642,151.05454545454546,46.0,-0.5461480159409305,66.74025974025975,2.701892744479496,0.0394122393095523,0.0557804768331084,0.0932701018377223,2.0577531703381333,0.0740079704652698,2413.5,-374.6679999999999,17.78262223606353,33.928345482051995,206.35838150289013,0.0,0.0,0.0,0.2053503184713375,1612.0,0.0716287760822173
23,(주)경농,002100,2019,25.48,83.71,16.83,제조업,2.39,2.47,1.1,32.71,1.61,20.98,1.61,1.79,1.13,1.4,0.62,1.29,60.13,-2.2387484316845283,6.985963179798264,0.2139446225937434,3.810379526452649,-41.15775220040623,62.0,0.3597825676644898,4.241899214991137,0.230178770182068,-0.0027502601961852,-0.0044832997085855,0.6863853160032777,0.6638409877748238,0.030215113488678,11730.5,3892.525,7.362835203572573,4.868232648033032,-21.98581560283687,0.0,0.0,0.0,-0.006035895827539,-66346.0,0.022130798071302
24,(주)경농,002100,2020,22.17,75.77,15.73,제조업,3.85,6.69,3.58,32.47,1.05,22.89,1.8,1.83,1.2,1.51,0.67,0.36,60.13,-2.107187668040868,9.135822004210786,4.699209946256532,0.1758009458738008,64.33091704061673,63.0,0.3825196621501591,5.974036402569594,0.2117525394998165,0.0427103352120712,0.0639075941618068,0.6152607942343671,0.7006266048674924,0.0542088575227574,11486.5,-12675.181,6.741651093855721,0.9815377794799206,225.45454545454544,0.0,0.0,0.0,0.099080254506628,-48781.0,0.0103626316976511
25,(주)경농,002100,2021,20.6,64.18,21.48,제조업,4.41,7.85,4.24,30.79,0.82,24.92,1.95,1.97,1.21,1.73,0.71,1.03,66.81,2.958926583465167,8.849518316847634,12.034233484094392,4.645704472903646,17.34350931242123,64.0,0.3867037393321776,8.191012282930961,0.2645080902165141,0.0278199317876672,0.040019388091124,0.6354799037336342,0.6151238566975149,0.052110929920316,15520.5,-4813.24,7.155456230644284,-17.993815691126596,18.435754189944134,0.0,0.0,0.0,0.0711691319682055,-55936.0,0.0195804920283125
26,(주)경동나비엔,009450,2019,16.01,102.57,0.66,제조업,7.51,9.59,4.67,34.18,0.46,60.78,2.93,5.37,2.66,2.53,1.3,8.91,51.52,11.9656677872431,6.5427620806283375,7.475437694570589,4.491463272537851,9.859810793588547,41.0,0.4390201506047805,13.741040690505548,0.7460357754927164,0.1288192349067247,0.1014541044646005,0.5201047629246478,0.9735214460945084,0.0852186261905386,42813.5,-29158.171,7.196250505300979,4.353174728471989,2.63736263736264,0.0,0.0,0.0,0.2544159654884281,13846.0,0.0654831323107204
27,(주)경동나비엔,009450,2020,19.39,111.02,3.05,제조업,9.98,12.83,6.19,37.83,0.39,66.31,3.0,5.53,2.69,2.51,1.3,10.13,54.6,9.012773925551796,12.801130324387085,15.652581192719978,20.478740849578884,49.69102063580591,42.0,0.4123336541039814,17.088851795649976,0.6003333540643075,0.0784345484960302,0.0659771080902532,0.5453181320096738,0.964770716588924,0.0758878927001765,55962.0,-18962.554,7.736274757874033,3.236596837174825,32.548179871520354,0.0,0.0,0.0,0.1490847939978009,-41021.0,0.0183052842368237
28,(주)경동도시가스,267290,2019,3.51,120.84,9.86,"전기, 가스, 증기 및 공기조절 공급업",3.67,7.45,3.22,7.91,-0.17,107.25,4.4,1080.65,4.31,3.28,1.86,18.18,51.99,1.640402352251539,-11.442286863878218,5.966488814003557,-3.632543975741067,-34.23119300466512,2.0,0.0852841137121516,55.34490605427975,20.19056359482102,0.0452973937298583,0.0238791094166898,3.275826874648617,0.167036726048968,0.0383547178062904,35356.0,-1370.4599999999991,3.726725371615257,-24.50914418071169,-29.8474945533769,0.0,0.0,0.0,0.0827828366882966,33973.0,0.0065614307363141
29,(주)경동도시가스,267290,2020,3.25,96.16,9.71,"전기, 가스, 증기 및 공기조절 공급업",2.5,5.46,2.62,9.51,-0.11,73.74,3.35,843.75,3.12,2.89,1.5,15.46,51.99,-1.181992484086203,-23.608287856678952,5.025146343474318,-6.7121422828563775,-35.35911602209944,3.0,0.1130409428606547,43.69161943319838,18.71956634865568,0.0004487906948823,0.0002889133637152,3.127822739644489,0.1567259312406919,0.0328160329761111,23095.0,22039.709,3.971852109481603,-16.658614805972633,-18.633540372670808,0.0,0.0,0.0,0.0009155052772756,314.0,0.0172087472661342
