,회사명,거래소코드,회계년도,차입금의존도,부채비율,순운전자본비율,산업군,총자본정상영업이익률,자기자본순이익률,총자본순이익률,매출액총이익률,금융비용부담률,자본금회전률,유형자산회전율,자기자본회전률,타인자본회전률,총자본회전률,합계_기말인원(명),대주주지분율,유형자산증가율,매출액증가율,자기자본증가율,총자본증가율,정상영업이익증가율,누적수익성비율,현금흐름 대 자산,현금흐름 대 매출액,TMD,시총/총자산,EBIT/총자산,당기전기영업손익,FINDEP,WW지수,EBITDA마진율,target_1,target_2,target_3,abs(영업현금흐름-당기순이익)/매출액
33,(주)골드퍼시픽,038530,2014,41.73,153.19,14.19,도매 및 소매업,-13.87,-48.56,-17.62,-8.92,5.93,0.94,1.66,1.0,0.65,0.39,22.0,21.29,0.2630780127491652,129.99441964285714,2.3284540794268422,24.522085015435763,5.197132616487455,-0.201220529690815,-0.1169515363894252,-0.2975858304015528,0.6327181341698884,0.9562618608310092,-0.1528522729981644,-5978.5,5421.455,-50.720502925886905,-21.74724008249424,0,0,0,0.1506732985563508
34,(주)골드퍼시픽,038530,2015,10.41,34.82,35.75,도매 및 소매업,-23.38,-55.42,-28.97,-5.61,4.17,0.85,2.98,0.99,1.14,0.53,45.0,7.43,-73.96306388132001,13.03530268106272,27.915258329309516,-31.88633817254285,-41.65664203471387,-0.4664543450110244,-0.1972491512966787,-0.3024416420713711,0.0859015562550288,3.006765017324047,-0.3303468309242992,-7031.0,5757.175,-42.50906480914895,-31.71129594848404,0,0,0,0.2457740810303192
35,(주)골프존,215000,2018,7.54,30.34,35.79,정보통신업,11.09,10.63,8.04,60.96,-0.61,63.33,2.56,1.03,3.22,0.78,470.0,53.71,16.81004385107393,-0.699632692836261,2.9242483446156444,0.1521650004730518,-24.82246783063698,0.4824370812963969,0.1294350109030221,0.1654915578369945,0.2817267331983702,0.8262390153035921,0.0983397491911295,32809.0,-20648.75,-59.9183836544495,17.58003573136056,0,0,0,0.0627311844191137
36,(주)골프존뉴딘홀딩스,121440,2012,16.34,31.41,25.77,도매 및 소매업,15.02,19.34,15.96,54.55,-1.91,47.16,2.31,0.76,3.66,0.63,563.0,62.67,278.9852024624326,34.21550182118131,17.958042118354353,43.08088262523343,26.745894713640205,0.4787705459002482,0.1132693562669733,0.2115464956893128,0.1673383908551337,1.428303375341777,0.1273600863708882,61722.5,41208.899000000005,-65.76466668810296,27.723104385265284,0,0,0,0.041725794033056
37,(주)골프존뉴딘홀딩스,121440,2013,15.93,50.24,10.91,도매 및 소매업,13.66,0.67,0.48,48.79,-1.06,29.73,1.74,0.87,2.13,0.62,459.0,57.7,12.13426691956899,26.06679579738217,3.1355296049674832,17.91696784939816,16.64565308754692,0.3882133450395083,0.0994465696726451,0.1737235913082059,0.2872639585352997,1.1640987400445253,0.0960961996738994,74746.0,-6914.374000000003,-65.06877593512388,25.53561236395108,0,0,0,0.1660467893275198
38,(주)골프존뉴딘홀딩스,121440,2014,25.6,56.67,-2.06,도매 및 소매업,14.63,17.4,11.32,48.94,-0.01,23.32,1.27,0.94,1.76,0.61,417.0,55.24,104.3749943766139,17.65527516528541,14.566688022914,19.47149755424558,27.21489893028861,0.409577225252842,0.0377803177535998,0.0670173886729206,0.2962590801718413,1.220989259379794,0.1350944901625511,91441.5,58947.022,-67.05386670243188,25.996061360832424,0,0,0,0.1174235899345887
39,(주)골프존뉴딘홀딩스,121440,2016,25.35,44.06,-5.56,도매 및 소매업,4.84,0.75,0.38,48.12,2.11,11.36,0.61,0.45,1.08,0.32,164.0,57.41,-0.6797771287888604,47.85518062916322,-4.221017121300058,-0.8538754764930114,495.7860962566845,0.286912127533443,0.0208945375295916,0.0653416915013873,0.6999891840320753,0.4369420414236572,0.0116907408648834,13828.0,-5165.963,-67.5447910924325,-0.0908930222998664,0,0,0,0.0535196793751926
40,(주)골프존뉴딘홀딩스,121440,2017,27.5,51.02,-0.45,도매 및 소매업,2.43,-4.2,-2.85,47.15,2.5,9.98,0.54,0.42,0.88,0.28,114.0,53.89,-1.0851021124993727,-12.133593669715342,-5.14574303097785,-0.5615341238450892,-50.21618115981192,0.2533876359713999,-0.0015518816234215,-0.0054922177987153,1.1215318827569578,0.3012446404697416,-0.0142022284174112,27714.5,12320.921,-64.16054192309025,-0.5794897944862625,0,0,0,0.0954869314221288
41,(주)골프존뉴딘홀딩스,121440,2018,28.95,59.42,-14.11,도매 및 소매업,0.15,-1.45,-0.98,42.07,2.8,10.41,0.58,0.45,0.82,0.29,57.0,54.89,-3.612382848663936,4.341378294044172,-2.983152763054662,2.411364955234692,-93.9532106605873,0.2316716640227791,-0.0260189508004589,-0.0903796231118603,1.8293714177112368,0.2037497264641307,0.0203099608515339,9768.5,27205.316,-64.83775159235469,-2.8325883149432607,0,0,0,0.0566318592879208
42,(주)광림,014200,2012,12.98,41.36,36.46,제조업,1.5,0.98,0.67,12.67,0.71,4.97,3.58,1.42,3.05,0.97,194.0,18.18,0.4882154882154881,-19.880745574909614,12.041921767207157,3.952381503827313,-74.88601823708207,0.2458391818728694,0.0306686273199206,0.0322656259156382,0.692037559066902,0.4227847665597219,0.0138471136064879,3293.0,-2119.952,-46.952212783775984,2.6897436798987377,0,0,0,0.0253976067414413
